 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> January 28, 2022 
 ==================================================================

 Disk File Name = SRIM Outputs\104Sn_CD2.txt

 Ion = Tin [50] , Mass = 104 amu

 Target Density =  9.0000E-01 g/cm3 = 1.0156E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    066.67    014.37   
      C      6    033.33    085.63   
 ====================================
 Bragg Correction = -1.56%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   5.158E-01  7.348E+00     231 A        44 A        34 A   
  11.00 keV   5.410E-01  7.553E+00     244 A        46 A        35 A   
  12.00 keV   5.650E-01  7.740E+00     256 A        48 A        37 A   
  13.00 keV   5.881E-01  7.911E+00     269 A        50 A        39 A   
  14.00 keV   6.103E-01  8.068E+00     281 A        51 A        40 A   
  15.00 keV   6.317E-01  8.213E+00     293 A        53 A        42 A   
  16.00 keV   6.524E-01  8.347E+00     304 A        55 A        44 A   
  17.00 keV   6.725E-01  8.472E+00     316 A        57 A        45 A   
  18.00 keV   6.920E-01  8.588E+00     327 A        58 A        47 A   
  20.00 keV   7.294E-01  8.799E+00     350 A        62 A        50 A   
  22.50 keV   7.737E-01  9.028E+00     377 A        66 A        53 A   
  25.00 keV   8.155E-01  9.225E+00     403 A        69 A        56 A   
  27.50 keV   8.553E-01  9.398E+00     429 A        73 A        60 A   
  30.00 keV   8.934E-01  9.549E+00     454 A        77 A        63 A   
  32.50 keV   9.298E-01  9.683E+00     479 A        80 A        66 A   
  35.00 keV   9.649E-01  9.803E+00     504 A        83 A        69 A   
  37.50 keV   9.988E-01  9.909E+00     528 A        87 A        72 A   
  40.00 keV   1.032E+00  1.000E+01     552 A        90 A        75 A   
  45.00 keV   1.094E+00  1.017E+01     599 A        96 A        81 A   
