 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> September 29, 2022 
 ==================================================================

 Disk File Name = SRIM Outputs\109In_CD2.txt

 Ion = Indium [49] , Mass = 109 amu

 Target Density =  9.3000E-01 g/cm3 = 1.0494E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    066.67    014.37   
      C      6    033.33    085.63   
 ====================================
 Bragg Correction = 0.54%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   5.277E-01  7.205E+00     228 A        42 A        33 A   
  11.00 keV   5.534E-01  7.408E+00     241 A        44 A        34 A   
  12.00 keV   5.780E-01  7.593E+00     254 A        46 A        36 A   
  13.00 keV   6.016E-01  7.762E+00     266 A        48 A        38 A   
  14.00 keV   6.244E-01  7.917E+00     278 A        50 A        39 A   
  15.00 keV   6.463E-01  8.060E+00     290 A        52 A        41 A   
  16.00 keV   6.675E-01  8.193E+00     301 A        53 A        42 A   
  17.00 keV   6.880E-01  8.317E+00     313 A        55 A        44 A   
  18.00 keV   7.080E-01  8.432E+00     324 A        56 A        45 A   
  20.00 keV   7.462E-01  8.641E+00     346 A        60 A        48 A   
  22.50 keV   7.915E-01  8.867E+00     372 A        63 A        51 A   
  25.00 keV   8.343E-01  9.064E+00     398 A        67 A        55 A   
  27.50 keV   8.751E-01  9.235E+00     424 A        71 A        58 A   
  30.00 keV   9.140E-01  9.386E+00     449 A        74 A        61 A   
  32.50 keV   9.513E-01  9.520E+00     473 A        77 A        64 A   
  35.00 keV   9.872E-01  9.639E+00     497 A        81 A        67 A   
  37.50 keV   1.022E+00  9.745E+00     521 A        84 A        70 A   
  40.00 keV   1.055E+00  9.840E+00     545 A        87 A        73 A   
  45.00 keV   1.119E+00  1.000E+01     591 A        93 A        78 A   
