 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> September 29, 2022 
 ==================================================================

 Disk File Name = SRIM Outputs\110Sn_CD2.txt

 Ion = Tin [50] , Mass = 110 amu

 Target Density =  9.3000E-01 g/cm3 = 1.0494E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    066.67    014.37   
      C      6    033.33    085.63   
 ====================================
 Bragg Correction = 0.54%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   5.122E-01  7.266E+00     228 A        42 A        33 A   
  11.00 keV   5.372E-01  7.473E+00     241 A        44 A        34 A   
  12.00 keV   5.611E-01  7.662E+00     253 A        46 A        36 A   
  13.00 keV   5.840E-01  7.834E+00     265 A        48 A        37 A   
  14.00 keV   6.060E-01  7.993E+00     277 A        50 A        39 A   
  15.00 keV   6.273E-01  8.139E+00     289 A        51 A        41 A   
  16.00 keV   6.479E-01  8.275E+00     300 A        53 A        42 A   
  17.00 keV   6.678E-01  8.401E+00     312 A        55 A        43 A   
  18.00 keV   6.872E-01  8.519E+00     323 A        56 A        45 A   
  20.00 keV   7.244E-01  8.733E+00     344 A        59 A        48 A   
  22.50 keV   7.683E-01  8.966E+00     371 A        63 A        51 A   
  25.00 keV   8.099E-01  9.168E+00     397 A        67 A        54 A   
  27.50 keV   8.494E-01  9.345E+00     422 A        70 A        57 A   
  30.00 keV   8.872E-01  9.500E+00     447 A        74 A        61 A   
  32.50 keV   9.234E-01  9.639E+00     471 A        77 A        64 A   
  35.00 keV   9.582E-01  9.762E+00     495 A        80 A        67 A   
  37.50 keV   9.919E-01  9.872E+00     519 A        83 A        69 A   
  40.00 keV   1.024E+00  9.971E+00     542 A        86 A        72 A   
  45.00 keV   1.087E+00  1.014E+01     588 A        92 A        78 A   
