 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> November 08, 2024 
 ==================================================================

 Disk File Name = SRIM Outputs\12C_12C.txt.txt

 Ion = Carbon [6] , Mass = 12 amu

 Target Density =  2.2530E+00 g/cm3 = 1.1306E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      C      6    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   7.903E-01  7.204E-01     258 A        95 A        71 A   
  11.00 keV   8.288E-01  7.001E-01     282 A       101 A        76 A   
  12.00 keV   8.657E-01  6.809E-01     306 A       108 A        81 A   
  13.00 keV   9.010E-01  6.628E-01     330 A       114 A        87 A   
  14.00 keV   9.350E-01  6.458E-01     353 A       120 A        92 A   
  15.00 keV   9.679E-01  6.298E-01     377 A       126 A        97 A   
  16.00 keV   9.996E-01  6.147E-01     400 A       131 A       101 A   
  17.00 keV   1.030E+00  6.003E-01     423 A       136 A       106 A   
  18.00 keV   1.060E+00  5.868E-01     446 A       142 A       111 A   
  20.00 keV   1.118E+00  5.617E-01     492 A       152 A       120 A   
  22.50 keV   1.185E+00  5.337E-01     549 A       163 A       131 A   
  25.00 keV   1.241E+00  5.087E-01     604 A       174 A       142 A   
  27.50 keV   1.283E+00  4.864E-01     660 A       185 A       152 A   
  30.00 keV   1.328E+00  4.663E-01     715 A       194 A       162 A   
  32.50 keV   1.372E+00  4.480E-01     770 A       204 A       172 A   
  35.00 keV   1.416E+00  4.314E-01     824 A       213 A       181 A   
  37.50 keV   1.460E+00  4.161E-01     877 A       221 A       190 A   
  40.00 keV   1.502E+00  4.021E-01     930 A       229 A       199 A   
  45.00 keV   1.582E+00  3.771E-01    1034 A       244 A       216 A   
  50.00 keV   1.657E+00  3.554E-01    1136 A       258 A       232 A   
