 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> April 17, 2023 
 ==================================================================

 Disk File Name = SRIM Outputs\12C_Al.txt

 Ion = Carbon [6] , Mass = 12 amu

 Target Density =  2.7020E+00 g/cm3 = 6.0305E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Al     13    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
999.999 eV    1.422E-01  4.242E-01      43 A        33 A        24 A   
   1.10 keV   1.491E-01  4.315E-01      46 A        35 A        26 A   
   1.20 keV   1.557E-01  4.378E-01      49 A        38 A        27 A   
   1.30 keV   1.621E-01  4.433E-01      52 A        39 A        29 A   
   1.40 keV   1.682E-01  4.482E-01      56 A        41 A        30 A   
   1.50 keV   1.741E-01  4.525E-01      59 A        43 A        32 A   
   1.60 keV   1.798E-01  4.564E-01      61 A        45 A        33 A   
   1.70 keV   1.854E-01  4.598E-01      64 A        47 A        34 A   
   1.80 keV   1.907E-01  4.628E-01      67 A        49 A        36 A   
   2.00 keV   2.010E-01  4.678E-01      73 A        52 A        38 A   
   2.25 keV   2.132E-01  4.727E-01      80 A        57 A        42 A   
   2.50 keV   2.248E-01  4.763E-01      88 A        61 A        45 A   
   2.75 keV   2.357E-01  4.789E-01      95 A        65 A        48 A   
   3.00 keV   2.462E-01  4.807E-01     102 A        69 A        51 A   
   3.25 keV   2.563E-01  4.818E-01     109 A        73 A        54 A   
   3.50 keV   2.660E-01  4.825E-01     116 A        77 A        57 A   
   3.75 keV   2.753E-01  4.827E-01     123 A        81 A        60 A   
   4.00 keV   2.843E-01  4.825E-01     130 A        85 A        62 A   
   4.50 keV   3.016E-01  4.813E-01     143 A        92 A        68 A   
   5.00 keV   3.179E-01  4.793E-01     157 A       100 A        73 A   
