 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> November 08, 2024 
 ==================================================================

 Disk File Name = SRIM Outputs\12C_CD2.txt

 Ion = Carbon [6] , Mass = 12 amu

 Target Density =  9.3000E-01 g/cm3 = 1.1979E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    066.67    014.37   
      C      6    033.33    085.63   
 ====================================
 Bragg Correction = 0.54%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   9.599E-01  1.057E+00     495 A       147 A       111 A   
  11.00 keV   1.007E+00  1.026E+00     541 A       158 A       120 A   
  12.00 keV   1.051E+00  9.971E-01     587 A       168 A       129 A   
  13.00 keV   1.094E+00  9.700E-01     633 A       178 A       137 A   
  14.00 keV   1.136E+00  9.445E-01     679 A       188 A       145 A   
  15.00 keV   1.176E+00  9.205E-01     724 A       197 A       153 A   
  16.00 keV   1.214E+00  8.978E-01     770 A       206 A       161 A   
  17.00 keV   1.252E+00  8.764E-01     815 A       215 A       169 A   
  18.00 keV   1.288E+00  8.562E-01     860 A       223 A       177 A   
  20.00 keV   1.357E+00  8.189E-01     949 A       240 A       192 A   
  22.50 keV   1.440E+00  7.773E-01    1060 A       259 A       210 A   
  25.00 keV   1.513E+00  7.404E-01    1169 A       277 A       228 A   
  27.50 keV   1.573E+00  7.074E-01    1277 A       294 A       245 A   
  30.00 keV   1.628E+00  6.776E-01    1384 A       310 A       261 A   
  32.50 keV   1.680E+00  6.507E-01    1491 A       325 A       277 A   
  35.00 keV   1.729E+00  6.262E-01    1597 A       340 A       293 A   
  37.50 keV   1.776E+00  6.038E-01    1702 A       354 A       308 A   
  40.00 keV   1.820E+00  5.832E-01    1806 A       367 A       323 A   
  45.00 keV   1.902E+00  5.465E-01    2013 A       393 A       351 A   
