 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> November 08, 2024 
 ==================================================================

 Disk File Name = SRIM Outputs\12C_Si.txt

 Ion = Carbon [6] , Mass = 12 amu

 Target Density =  2.3212E+00 g/cm3 = 4.9770E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Si     14    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   4.128E-01  4.468E-01     342 A       200 A       149 A   
  11.00 keV   4.330E-01  4.393E-01     373 A       215 A       160 A   
  12.00 keV   4.522E-01  4.319E-01     405 A       229 A       171 A   
  13.00 keV   4.707E-01  4.246E-01     436 A       243 A       182 A   
  14.00 keV   4.884E-01  4.175E-01     468 A       257 A       192 A   
  15.00 keV   5.056E-01  4.106E-01     499 A       270 A       203 A   
  16.00 keV   5.222E-01  4.038E-01     531 A       283 A       213 A   
  17.00 keV   5.382E-01  3.973E-01     562 A       296 A       224 A   
  18.00 keV   5.538E-01  3.910E-01     593 A       308 A       234 A   
  20.00 keV   5.838E-01  3.789E-01     656 A       332 A       254 A   
  22.50 keV   6.192E-01  3.649E-01     734 A       361 A       278 A   
  25.00 keV   6.673E-01  3.521E-01     811 A       388 A       301 A   
  27.50 keV   7.287E-01  3.402E-01     886 A       413 A       324 A   
  30.00 keV   7.797E-01  3.291E-01     958 A       435 A       346 A   
  32.50 keV   8.223E-01  3.189E-01    1030 A       457 A       366 A   
  35.00 keV   8.583E-01  3.094E-01    1100 A       478 A       386 A   
  37.50 keV   8.892E-01  3.006E-01    1169 A       497 A       405 A   
  40.00 keV   9.163E-01  2.923E-01    1239 A       516 A       424 A   
  45.00 keV   9.627E-01  2.772E-01    1376 A       552 A       459 A   
  50.00 keV   1.003E+00  2.639E-01    1513 A       586 A       493 A   
