 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> July 23, 2024 
 ==================================================================

 Disk File Name = SRIM Outputs\132Sn_CD2.txt.txt

 Ion = Tin [50] , Mass = 132 amu

 Target Density =  9.0000E-01 g/cm3 = 1.0156E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    066.67    014.37   
      C      6    033.33    085.63   
 ====================================
 Bragg Correction = -1.56%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   4.579E-01  6.983E+00     254 A        44 A        33 A   
  11.00 keV   4.802E-01  7.193E+00     268 A        46 A        35 A   
  12.00 keV   5.016E-01  7.385E+00     282 A        48 A        37 A   
  13.00 keV   5.220E-01  7.561E+00     295 A        50 A        38 A   
  14.00 keV   5.417E-01  7.724E+00     308 A        52 A        40 A   
  15.00 keV   5.608E-01  7.874E+00     321 A        53 A        42 A   
  16.00 keV   5.791E-01  8.015E+00     333 A        55 A        43 A   
  17.00 keV   5.970E-01  8.146E+00     345 A        57 A        45 A   
  18.00 keV   6.143E-01  8.268E+00     357 A        58 A        46 A   
  20.00 keV   6.475E-01  8.492E+00     381 A        61 A        49 A   
  22.50 keV   6.868E-01  8.737E+00     409 A        65 A        52 A   
  25.00 keV   7.239E-01  8.951E+00     437 A        69 A        55 A   
  27.50 keV   7.593E-01  9.140E+00     464 A        72 A        59 A   
  30.00 keV   7.930E-01  9.308E+00     490 A        76 A        62 A   
  32.50 keV   8.254E-01  9.458E+00     516 A        79 A        65 A   
  35.00 keV   8.566E-01  9.593E+00     542 A        82 A        68 A   
  37.50 keV   8.866E-01  9.715E+00     567 A        85 A        71 A   
  40.00 keV   9.157E-01  9.825E+00     592 A        88 A        73 A   
  45.00 keV   9.713E-01  1.002E+01     641 A        94 A        79 A   
