 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> January 28, 2022 
 ==================================================================

 Disk File Name = SRIM Outputs\136Xe_CD2.txt

 Ion = Xenon [54] , Mass = 136 amu

 Target Density =  9.0000E-01 g/cm3 = 1.0156E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    066.67    014.37   
      C      6    033.33    085.63   
 ====================================
 Bragg Correction = -1.56%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   7.781E-01  7.196E+00     242 A        41 A        31 A   
  11.00 keV   8.161E-01  7.420E+00     255 A        43 A        33 A   
  12.00 keV   8.524E-01  7.624E+00     268 A        45 A        34 A   
  13.00 keV   8.872E-01  7.813E+00     280 A        46 A        36 A   
  14.00 keV   9.207E-01  7.988E+00     292 A        48 A        37 A   
  15.00 keV   9.530E-01  8.150E+00     304 A        49 A        38 A   
  16.00 keV   9.843E-01  8.301E+00     316 A        51 A        40 A   
  17.00 keV   1.015E+00  8.443E+00     327 A        53 A        41 A   
  18.00 keV   1.044E+00  8.575E+00     338 A        54 A        42 A   
  20.00 keV   1.100E+00  8.818E+00     360 A        57 A        45 A   
  22.50 keV   1.167E+00  9.086E+00     386 A        60 A        48 A   
  25.00 keV   1.230E+00  9.320E+00     411 A        63 A        51 A   
  27.50 keV   1.290E+00  9.529E+00     436 A        67 A        54 A   
  30.00 keV   1.348E+00  9.714E+00     460 A        70 A        56 A   
  32.50 keV   1.403E+00  9.881E+00     484 A        72 A        59 A   
  35.00 keV   1.456E+00  1.003E+01     508 A        75 A        62 A   
  37.50 keV   1.507E+00  1.017E+01     530 A        78 A        64 A   
  40.00 keV   1.556E+00  1.029E+01     553 A        81 A        67 A   
  45.00 keV   1.651E+00  1.051E+01     597 A        86 A        72 A   
