 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> January 28, 2022 
 ==================================================================

 Disk File Name = SRIM Outputs\138Xe_tTi.txt

 Ion = Xenon [54] , Mass = 138 amu

 Target Density =  2.2952E+00 g/cm3 = 5.4309E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Ti     22    050.00    097.94   
      H      1    050.00    002.06   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   2.707E-01  4.146E+00     142 A        54 A        40 A   
  11.00 keV   2.839E-01  4.284E+00     149 A        56 A        42 A   
  12.00 keV   2.965E-01  4.410E+00     157 A        59 A        44 A   
  13.00 keV   3.086E-01  4.528E+00     164 A        61 A        46 A   
  14.00 keV   3.203E-01  4.637E+00     171 A        63 A        47 A   
  15.00 keV   3.315E-01  4.739E+00     178 A        66 A        49 A   
  16.00 keV   3.424E-01  4.834E+00     185 A        68 A        51 A   
  17.00 keV   3.529E-01  4.923E+00     192 A        70 A        52 A   
  18.00 keV   3.632E-01  5.008E+00     198 A        72 A        54 A   
  20.00 keV   3.828E-01  5.163E+00     211 A        76 A        57 A   
  22.50 keV   4.060E-01  5.335E+00     227 A        80 A        61 A   
  25.00 keV   4.280E-01  5.488E+00     242 A        85 A        64 A   
  27.50 keV   4.489E-01  5.624E+00     257 A        89 A        68 A   
  30.00 keV   4.688E-01  5.747E+00     271 A        94 A        71 A   
  32.50 keV   4.880E-01  5.858E+00     285 A        98 A        75 A   
  35.00 keV   5.064E-01  5.960E+00     299 A       102 A        78 A   
  37.50 keV   5.242E-01  6.052E+00     313 A       106 A        81 A   
  40.00 keV   5.414E-01  6.138E+00     326 A       110 A        84 A   
  45.00 keV   5.742E-01  6.289E+00     353 A       117 A        90 A   
