 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> November 08, 2024 
 ==================================================================

 Disk File Name = SRIM Outputs\144Ba_12C.txt

 Ion = Barium [56] , Mass = 144 amu

 Target Density =  2.2530E+00 g/cm3 = 1.1306E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      C      6    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   4.113E-01  6.704E+00     108 A        21 A        16 A   
  11.00 keV   4.314E-01  6.922E+00     114 A        22 A        17 A   
  12.00 keV   4.505E-01  7.122E+00     119 A        23 A        18 A   
  13.00 keV   4.689E-01  7.307E+00     125 A        24 A        18 A   
  14.00 keV   4.866E-01  7.478E+00     130 A        25 A        19 A   
  15.00 keV   5.037E-01  7.638E+00     135 A        26 A        20 A   
  16.00 keV   5.202E-01  7.787E+00     140 A        26 A        20 A   
  17.00 keV   5.363E-01  7.927E+00     145 A        27 A        21 A   
  18.00 keV   5.518E-01  8.059E+00     150 A        28 A        22 A   
  20.00 keV   5.817E-01  8.301E+00     160 A        29 A        23 A   
  22.50 keV   6.169E-01  8.569E+00     171 A        31 A        25 A   
  25.00 keV   6.503E-01  8.805E+00     182 A        33 A        26 A   
  27.50 keV   6.821E-01  9.016E+00     193 A        34 A        27 A   
  30.00 keV   7.124E-01  9.205E+00     204 A        36 A        29 A   
  32.50 keV   7.415E-01  9.376E+00     214 A        37 A        30 A   
  35.00 keV   7.695E-01  9.531E+00     225 A        39 A        32 A   
  37.50 keV   7.965E-01  9.673E+00     235 A        40 A        33 A   
  40.00 keV   8.226E-01  9.803E+00     245 A        41 A        34 A   
  45.00 keV   8.725E-01  1.003E+01     264 A        44 A        37 A   
  50.00 keV   9.197E-01  1.023E+01     283 A        47 A        39 A   
