 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> November 05, 2024 
 ==================================================================

 Disk File Name = SRIM Outputs\144Ba_CD2.txt

 Ion = Barium [56] , Mass = 144 amu

 Target Density =  9.3000E-01 g/cm3 = 1.1979E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    066.67    014.37   
      C      6    033.33    085.63   
 ====================================
 Bragg Correction = 0.54%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   4.996E-01  7.719E+00     234 A        41 A        31 A   
  11.00 keV   5.239E-01  7.978E+00     246 A        43 A        32 A   
  12.00 keV   5.472E-01  8.216E+00     258 A        44 A        34 A   
  13.00 keV   5.696E-01  8.437E+00     270 A        46 A        35 A   
  14.00 keV   5.911E-01  8.642E+00     281 A        47 A        36 A   
  15.00 keV   6.118E-01  8.833E+00     292 A        49 A        38 A   
  16.00 keV   6.319E-01  9.012E+00     302 A        50 A        39 A   
  17.00 keV   6.513E-01  9.181E+00     313 A        52 A        40 A   
  18.00 keV   6.702E-01  9.339E+00     323 A        53 A        41 A   
  20.00 keV   7.065E-01  9.631E+00     343 A        56 A        44 A   
  22.50 keV   7.493E-01  9.956E+00     368 A        59 A        47 A   
  25.00 keV   7.899E-01  1.024E+01     391 A        62 A        49 A   
  27.50 keV   8.284E-01  1.050E+01     414 A        65 A        52 A   
  30.00 keV   8.653E-01  1.073E+01     437 A        68 A        54 A   
  32.50 keV   9.006E-01  1.094E+01     458 A        70 A        57 A   
  35.00 keV   9.346E-01  1.114E+01     480 A        73 A        59 A   
  37.50 keV   9.674E-01  1.131E+01     501 A        76 A        62 A   
  40.00 keV   9.991E-01  1.147E+01     522 A        78 A        64 A   
  45.00 keV   1.060E+00  1.176E+01     562 A        83 A        69 A   
