 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> November 05, 2024 
 ==================================================================

 Disk File Name = SRIM Outputs\144Ce_CD2.txt

 Ion = Cerium [58] , Mass = 144 amu

 Target Density =  9.3000E-01 g/cm3 = 1.1979E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    066.67    014.37   
      C      6    033.33    085.63   
 ====================================
 Bragg Correction = 0.54%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   5.069E-01  7.841E+00     232 A        40 A        30 A   
  11.00 keV   5.317E-01  8.107E+00     244 A        42 A        32 A   
  12.00 keV   5.553E-01  8.351E+00     255 A        44 A        33 A   
  13.00 keV   5.780E-01  8.578E+00     267 A        45 A        35 A   
  14.00 keV   5.998E-01  8.789E+00     278 A        47 A        36 A   
  15.00 keV   6.208E-01  8.985E+00     288 A        48 A        37 A   
  16.00 keV   6.412E-01  9.170E+00     299 A        50 A        38 A   
  17.00 keV   6.609E-01  9.343E+00     309 A        51 A        40 A   
  18.00 keV   6.801E-01  9.507E+00     319 A        53 A        41 A   
  20.00 keV   7.169E-01  9.808E+00     339 A        55 A        43 A   
  22.50 keV   7.604E-01  1.014E+01     363 A        58 A        46 A   
  25.00 keV   8.015E-01  1.044E+01     386 A        61 A        49 A   
  27.50 keV   8.406E-01  1.071E+01     408 A        64 A        51 A   
  30.00 keV   8.780E-01  1.095E+01     430 A        67 A        54 A   
  32.50 keV   9.138E-01  1.117E+01     452 A        70 A        56 A   
  35.00 keV   9.483E-01  1.137E+01     473 A        72 A        59 A   
  37.50 keV   9.816E-01  1.155E+01     494 A        75 A        61 A   
  40.00 keV   1.014E+00  1.172E+01     514 A        77 A        63 A   
  45.00 keV   1.075E+00  1.202E+01     554 A        82 A        68 A   
