 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> November 05, 2024 
 ==================================================================

 Disk File Name = SRIM Outputs\144Nd_CD2.txt

 Ion = Neodymium [60] , Mass = 144 amu

 Target Density =  9.3000E-01 g/cm3 = 1.1979E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    066.67    014.37   
      C      6    033.33    085.63   
 ====================================
 Bragg Correction = 0.54%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   1.316E+00  7.959E+00     211 A        35 A        26 A   
  11.00 keV   1.380E+00  8.232E+00     222 A        37 A        28 A   
  12.00 keV   1.442E+00  8.482E+00     232 A        38 A        29 A   
  13.00 keV   1.500E+00  8.715E+00     242 A        40 A        30 A   
  14.00 keV   1.557E+00  8.931E+00     252 A        41 A        31 A   
  15.00 keV   1.612E+00  9.133E+00     262 A        42 A        32 A   
  16.00 keV   1.665E+00  9.323E+00     271 A        43 A        33 A   
  17.00 keV   1.716E+00  9.502E+00     281 A        45 A        34 A   
  18.00 keV   1.766E+00  9.670E+00     290 A        46 A        35 A   
  20.00 keV   1.861E+00  9.980E+00     307 A        48 A        37 A   
  22.50 keV   1.974E+00  1.033E+01     329 A        51 A        40 A   
  25.00 keV   2.081E+00  1.063E+01     349 A        53 A        42 A   
  27.50 keV   2.182E+00  1.091E+01     369 A        56 A        44 A   
  30.00 keV   2.279E+00  1.116E+01     388 A        58 A        47 A   
  32.50 keV   2.372E+00  1.138E+01     407 A        60 A        49 A   
  35.00 keV   2.462E+00  1.159E+01     426 A        62 A        51 A   
  37.50 keV   2.548E+00  1.178E+01     444 A        65 A        53 A   
  40.00 keV   2.632E+00  1.196E+01     462 A        67 A        55 A   
  45.00 keV   2.792E+00  1.227E+01     497 A        71 A        58 A   
