 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> November 05, 2024 
 ==================================================================

 Disk File Name = SRIM Outputs\144Sm_CD2.txt

 Ion = Samarium [62] , Mass = 144 amu

 Target Density =  9.3000E-01 g/cm3 = 1.1979E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    066.67    014.37   
      C      6    033.33    085.63   
 ====================================
 Bragg Correction = 0.54%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   5.579E-01  8.074E+00     226 A        40 A        30 A   
  11.00 keV   5.851E-01  8.353E+00     238 A        41 A        31 A   
  12.00 keV   6.111E-01  8.610E+00     249 A        43 A        32 A   
  13.00 keV   6.360E-01  8.848E+00     260 A        45 A        34 A   
  14.00 keV   6.601E-01  9.070E+00     270 A        46 A        35 A   
  15.00 keV   6.832E-01  9.278E+00     281 A        47 A        36 A   
  16.00 keV   7.056E-01  9.472E+00     291 A        49 A        37 A   
  17.00 keV   7.273E-01  9.656E+00     301 A        50 A        39 A   
  18.00 keV   7.484E-01  9.829E+00     311 A        51 A        40 A   
  20.00 keV   7.889E-01  1.015E+01     330 A        54 A        42 A   
  22.50 keV   8.368E-01  1.050E+01     352 A        57 A        45 A   
  25.00 keV   8.820E-01  1.082E+01     375 A        60 A        47 A   
  27.50 keV   9.251E-01  1.110E+01     396 A        63 A        50 A   
  30.00 keV   9.662E-01  1.136E+01     417 A        65 A        52 A   
  32.50 keV   1.006E+00  1.160E+01     438 A        68 A        55 A   
  35.00 keV   1.044E+00  1.181E+01     458 A        70 A        57 A   
  37.50 keV   1.080E+00  1.201E+01     478 A        73 A        59 A   
  40.00 keV   1.116E+00  1.219E+01     497 A        75 A        61 A   
  45.00 keV   1.183E+00  1.251E+01     535 A        80 A        66 A   
