 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> October 30, 2024 
 ==================================================================

 Disk File Name = SRIM Outputs\146Ce_CD2.txt

 Ion = Cerium [58] , Mass = 146 amu

 Target Density =  9.3000E-01 g/cm3 = 1.1979E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    066.67    014.37   
      C      6    033.33    085.63   
 ====================================
 Bragg Correction = 0.54%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   5.034E-01  7.811E+00     233 A        41 A        30 A   
  11.00 keV   5.280E-01  8.077E+00     245 A        42 A        32 A   
  12.00 keV   5.515E-01  8.321E+00     257 A        44 A        33 A   
  13.00 keV   5.740E-01  8.548E+00     268 A        45 A        35 A   
  14.00 keV   5.957E-01  8.759E+00     279 A        47 A        36 A   
  15.00 keV   6.166E-01  8.955E+00     290 A        48 A        37 A   
  16.00 keV   6.368E-01  9.140E+00     301 A        50 A        38 A   
  17.00 keV   6.564E-01  9.314E+00     311 A        51 A        40 A   
  18.00 keV   6.754E-01  9.477E+00     321 A        53 A        41 A   
  20.00 keV   7.120E-01  9.779E+00     341 A        55 A        43 A   
  22.50 keV   7.551E-01  1.011E+01     365 A        58 A        46 A   
  25.00 keV   7.960E-01  1.041E+01     388 A        61 A        49 A   
  27.50 keV   8.348E-01  1.068E+01     411 A        64 A        51 A   
  30.00 keV   8.720E-01  1.092E+01     433 A        67 A        54 A   
  32.50 keV   9.076E-01  1.114E+01     454 A        70 A        56 A   
  35.00 keV   9.418E-01  1.134E+01     475 A        72 A        59 A   
  37.50 keV   9.749E-01  1.152E+01     496 A        75 A        61 A   
  40.00 keV   1.007E+00  1.169E+01     516 A        77 A        63 A   
  45.00 keV   1.068E+00  1.199E+01     556 A        82 A        68 A   
