 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> October 28, 2025 
 ==================================================================

 Disk File Name = SRIM Outputs\Lead in Polyethylene.txt

 Ion = Lead [82] , Mass = 196.977 amu

 Target Density =  9.3000E-01 g/cm3 = 1.1979E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    066.67    014.37
      C      6    033.33    085.63
 ====================================
 Bragg Correction = 0.54%
 Stopping Units =  MeV / (mg/cm2)
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   1.486E+00  8.193E+00     219 A        33 A        24 A
  11.00 keV   1.559E+00  8.516E+00     229 A        34 A        25 A
  12.00 keV   1.628E+00  8.817E+00     240 A        36 A        26 A
  13.00 keV   1.694E+00  9.098E+00     249 A        37 A        27 A
  14.00 keV   1.758E+00  9.362E+00     259 A        38 A        28 A
  15.00 keV   1.820E+00  9.611E+00     268 A        39 A        29 A
  16.00 keV   1.880E+00  9.846E+00     277 A        40 A        29 A
  17.00 keV   1.938E+00  1.007E+01     286 A        41 A        30 A
  18.00 keV   1.994E+00  1.028E+01     294 A        42 A        31 A
  20.00 keV   2.102E+00  1.068E+01     311 A        44 A        33 A
  22.50 keV   2.229E+00  1.112E+01     330 A        46 A        35 A
  25.00 keV   2.350E+00  1.153E+01     349 A        49 A        37 A
  27.50 keV   2.464E+00  1.190E+01     368 A        51 A        39 A
  30.00 keV   2.574E+00  1.223E+01     386 A        53 A        40 A
  32.50 keV   2.679E+00  1.255E+01     403 A        55 A        42 A
  35.00 keV   2.780E+00  1.283E+01     420 A        56 A        44 A
  37.50 keV   2.878E+00  1.310E+01     436 A        58 A        45 A
  40.00 keV   2.972E+00  1.335E+01     452 A        60 A        47 A
  45.00 keV   3.152E+00  1.381E+01     484 A        63 A        50 A
  50.00 keV   3.323E+00  1.422E+01     514 A        66 A        53 A
