 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> January 13, 2026 
 ==================================================================

 Disk File Name = SRIM Outputs\1H_C.txt

 Ion = Hydrogen [1] , Mass = 1.008 amu

 Target Density =  2.2530E+00 g/cm3 = 1.1296E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      C      6    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   4.133E-01  5.977E-03    1232 A       328 A       340 A   
  11.00 keV   4.309E-01  5.602E-03    1326 A       337 A       354 A   
  12.00 keV   4.474E-01  5.277E-03    1417 A       345 A       366 A   
  13.00 keV   4.628E-01  4.992E-03    1506 A       352 A       378 A   
  14.00 keV   4.774E-01  4.739E-03    1593 A       359 A       389 A   
  15.00 keV   4.910E-01  4.514E-03    1677 A       365 A       399 A   
  16.00 keV   5.039E-01  4.311E-03    1760 A       370 A       409 A   
  17.00 keV   5.160E-01  4.128E-03    1841 A       376 A       418 A   
  18.00 keV   5.275E-01  3.962E-03    1920 A       381 A       427 A   
  20.00 keV   5.487E-01  3.670E-03    2075 A       390 A       443 A   
  22.50 keV   5.721E-01  3.366E-03    2263 A       400 A       461 A   
  25.00 keV   5.928E-01  3.114E-03    2444 A       409 A       478 A   
  27.50 keV   6.110E-01  2.900E-03    2620 A       418 A       493 A   
  30.00 keV   6.273E-01  2.716E-03    2793 A       425 A       507 A   
  32.50 keV   6.419E-01  2.557E-03    2961 A       432 A       521 A   
  35.00 keV   6.549E-01  2.416E-03    3126 A       438 A       533 A   
  37.50 keV   6.667E-01  2.292E-03    3289 A       444 A       545 A   
  40.00 keV   6.773E-01  2.181E-03    3449 A       449 A       556 A   
  45.00 keV   6.955E-01  1.991E-03    3764 A       460 A       576 A   
