 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> January 28, 2022 
 ==================================================================

 Disk File Name = SRIM Outputs\1H_CH2.txt

 Ion = Hydrogen [1] , Mass = 1 amu

 Target Density =  9.0000E-01 g/cm3 = 1.1592E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    066.67    014.37   
      C      6    033.33    085.63   
 ====================================
 Bragg Correction = -1.56%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   6.481E-01  1.001E-02    2157 A       445 A       486 A   
  11.00 keV   6.760E-01  9.343E-03    2312 A       456 A       504 A   
  12.00 keV   7.020E-01  8.767E-03    2463 A       465 A       520 A   
  13.00 keV   7.264E-01  8.264E-03    2609 A       474 A       535 A   
  14.00 keV   7.493E-01  7.822E-03    2750 A       482 A       549 A   
  15.00 keV   7.709E-01  7.430E-03    2889 A       490 A       562 A   
  16.00 keV   7.912E-01  7.079E-03    3024 A       497 A       575 A   
  17.00 keV   8.104E-01  6.762E-03    3156 A       503 A       586 A   
  18.00 keV   8.285E-01  6.476E-03    3286 A       509 A       597 A   
  20.00 keV   8.618E-01  5.977E-03    3538 A       520 A       617 A   
  22.50 keV   8.985E-01  5.460E-03    3842 A       533 A       640 A   
  25.00 keV   9.305E-01  5.033E-03    4136 A       544 A       661 A   
  27.50 keV   9.585E-01  4.674E-03    4421 A       554 A       680 A   
  30.00 keV   9.830E-01  4.366E-03    4700 A       563 A       697 A   
  32.50 keV   1.004E+00  4.100E-03    4973 A       572 A       713 A   
  35.00 keV   1.023E+00  3.867E-03    5241 A       579 A       729 A   
  37.50 keV   1.039E+00  3.662E-03    5504 A       586 A       743 A   
  40.00 keV   1.054E+00  3.479E-03    5765 A       593 A       756 A   
  45.00 keV   1.076E+00  3.166E-03    6277 A       608 A       782 A   
