 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> January 28, 2022 
 ==================================================================

 Disk File Name = SRIM Outputs\1H_Si.txt

 Ion = Hydrogen [1] , Mass = 1 amu

 Target Density =  2.3212E+00 g/cm3 = 4.9770E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Si     14    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   3.142E-01  4.189E-03    1339 A       518 A       486 A   
  11.00 keV   3.289E-01  3.963E-03    1448 A       536 A       509 A   
  12.00 keV   3.432E-01  3.764E-03    1554 A       552 A       530 A   
  13.00 keV   3.570E-01  3.587E-03    1657 A       567 A       550 A   
  14.00 keV   3.702E-01  3.428E-03    1758 A       581 A       569 A   
  15.00 keV   3.828E-01  3.284E-03    1856 A       593 A       587 A   
  16.00 keV   3.947E-01  3.154E-03    1952 A       605 A       603 A   
  17.00 keV   4.060E-01  3.035E-03    2046 A       616 A       619 A   
  18.00 keV   4.167E-01  2.926E-03    2138 A       626 A       634 A   
  20.00 keV   4.361E-01  2.733E-03    2317 A       645 A       662 A   
  22.50 keV   4.570E-01  2.529E-03    2533 A       666 A       694 A   
  25.00 keV   4.745E-01  2.356E-03    2743 A       685 A       723 A   
  27.50 keV   4.890E-01  2.209E-03    2948 A       702 A       750 A   
  30.00 keV   5.009E-01  2.080E-03    3148 A       717 A       775 A   
  32.50 keV   5.107E-01  1.968E-03    3346 A       731 A       798 A   
  35.00 keV   5.185E-01  1.869E-03    3541 A       744 A       821 A   
  37.50 keV   5.246E-01  1.780E-03    3735 A       756 A       842 A   
  40.00 keV   5.294E-01  1.700E-03    3927 A       768 A       863 A   
  45.00 keV   5.355E-01  1.562E-03    4310 A       790 A       902 A   
