 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> January 28, 2022 
 ==================================================================

 Disk File Name = SRIM Outputs\206Hg_CD2.txt

 Ion = Mercury [80] , Mass = 206 amu

 Target Density =  9.0000E-01 g/cm3 = 1.0156E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    066.67    014.37   
      C      6    033.33    085.63   
 ====================================
 Bragg Correction = -1.56%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   1.266E+00  7.546E+00     246 A        35 A        25 A   
  11.00 keV   1.327E+00  7.834E+00     258 A        37 A        27 A   
  12.00 keV   1.386E+00  8.102E+00     269 A        38 A        28 A   
  13.00 keV   1.443E+00  8.352E+00     280 A        40 A        29 A   
  14.00 keV   1.497E+00  8.586E+00     291 A        41 A        30 A   
  15.00 keV   1.550E+00  8.806E+00     302 A        42 A        31 A   
  16.00 keV   1.601E+00  9.014E+00     312 A        43 A        32 A   
  17.00 keV   1.650E+00  9.211E+00     322 A        45 A        33 A   
  18.00 keV   1.698E+00  9.398E+00     332 A        46 A        34 A   
  20.00 keV   1.790E+00  9.745E+00     351 A        48 A        36 A   
  22.50 keV   1.898E+00  1.014E+01     373 A        50 A        38 A   
  25.00 keV   2.001E+00  1.049E+01     395 A        53 A        40 A   
  27.50 keV   2.099E+00  1.081E+01     417 A        55 A        42 A   
  30.00 keV   2.192E+00  1.110E+01     437 A        57 A        44 A   
  32.50 keV   2.282E+00  1.137E+01     457 A        60 A        46 A   
  35.00 keV   2.368E+00  1.162E+01     476 A        62 A        48 A   
  37.50 keV   2.451E+00  1.185E+01     495 A        64 A        49 A   
  40.00 keV   2.531E+00  1.206E+01     514 A        66 A        51 A   
  45.00 keV   2.685E+00  1.245E+01     550 A        69 A        55 A   
