 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> January 28, 2022 
 ==================================================================

 Disk File Name = SRIM Outputs\212Rn_CD2.txt

 Ion = Radon [86] , Mass = 212 amu

 Target Density =  9.0000E-01 g/cm3 = 1.0156E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    066.67    014.37   
      C      6    033.33    085.63   
 ====================================
 Bragg Correction = -1.56%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   1.363E+00  7.681E+00     242 A        35 A        25 A   
  11.00 keV   1.430E+00  7.981E+00     254 A        36 A        26 A   
  12.00 keV   1.493E+00  8.260E+00     265 A        37 A        27 A   
  13.00 keV   1.554E+00  8.521E+00     276 A        39 A        28 A   
  14.00 keV   1.613E+00  8.766E+00     287 A        40 A        29 A   
  15.00 keV   1.669E+00  8.996E+00     297 A        41 A        30 A   
  16.00 keV   1.724E+00  9.214E+00     307 A        42 A        31 A   
  17.00 keV   1.777E+00  9.421E+00     316 A        43 A        32 A   
  18.00 keV   1.829E+00  9.617E+00     326 A        44 A        33 A   
  20.00 keV   1.928E+00  9.982E+00     344 A        47 A        34 A   
  22.50 keV   2.045E+00  1.040E+01     366 A        49 A        37 A   
  25.00 keV   2.155E+00  1.077E+01     388 A        51 A        39 A   
  27.50 keV   2.260E+00  1.111E+01     408 A        54 A        40 A   
  30.00 keV   2.361E+00  1.142E+01     428 A        56 A        42 A   
  32.50 keV   2.457E+00  1.170E+01     447 A        58 A        44 A   
  35.00 keV   2.550E+00  1.197E+01     466 A        60 A        46 A   
  37.50 keV   2.640E+00  1.222E+01     484 A        62 A        48 A   
  40.00 keV   2.726E+00  1.245E+01     502 A        64 A        49 A   
  45.00 keV   2.892E+00  1.286E+01     537 A        67 A        53 A   
