 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> January 28, 2022 
 ==================================================================

 Disk File Name = SRIM Outputs\214Ra_CD2.txt

 Ion = Radium [88] , Mass = 214 amu

 Target Density =  9.0000E-01 g/cm3 = 1.0156E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    066.67    014.37   
      C      6    033.33    085.63   
 ====================================
 Bragg Correction = -1.56%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   1.378E+00  7.722E+00     242 A        34 A        24 A   
  11.00 keV   1.446E+00  8.026E+00     253 A        36 A        26 A   
  12.00 keV   1.510E+00  8.308E+00     265 A        37 A        27 A   
  13.00 keV   1.572E+00  8.573E+00     275 A        38 A        28 A   
  14.00 keV   1.631E+00  8.821E+00     286 A        40 A        29 A   
  15.00 keV   1.688E+00  9.055E+00     296 A        41 A        30 A   
  16.00 keV   1.743E+00  9.276E+00     306 A        42 A        31 A   
  17.00 keV   1.797E+00  9.485E+00     315 A        43 A        31 A   
  18.00 keV   1.849E+00  9.685E+00     325 A        44 A        32 A   
  20.00 keV   1.949E+00  1.006E+01     343 A        46 A        34 A   
  22.50 keV   2.068E+00  1.048E+01     365 A        49 A        36 A   
  25.00 keV   2.179E+00  1.085E+01     386 A        51 A        38 A   
  27.50 keV   2.286E+00  1.120E+01     406 A        53 A        40 A   
  30.00 keV   2.387E+00  1.152E+01     426 A        55 A        42 A   
  32.50 keV   2.485E+00  1.181E+01     445 A        58 A        44 A   
  35.00 keV   2.579E+00  1.208E+01     463 A        59 A        45 A   
  37.50 keV   2.669E+00  1.233E+01     482 A        61 A        47 A   
  40.00 keV   2.757E+00  1.257E+01     499 A        63 A        49 A   
  45.00 keV   2.924E+00  1.299E+01     534 A        67 A        52 A   
