 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> January 28, 2022 
 ==================================================================

 Disk File Name = SRIM Outputs\21Ne_CD2.txt

 Ion = Neon [10] , Mass = 21 amu

 Target Density =  9.0000E-01 g/cm3 = 1.0156E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    066.67    014.37   
      C      6    033.33    085.63   
 ====================================
 Bragg Correction = -1.56%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   6.118E-01  1.961E+00     411 A       119 A        89 A   
  11.00 keV   6.417E-01  1.932E+00     449 A       128 A        96 A   
  12.00 keV   6.702E-01  1.902E+00     487 A       137 A       103 A   
  13.00 keV   6.976E-01  1.873E+00     524 A       147 A       109 A   
  14.00 keV   7.239E-01  1.844E+00     562 A       156 A       116 A   
  15.00 keV   7.493E-01  1.816E+00     600 A       165 A       123 A   
  16.00 keV   7.739E-01  1.789E+00     639 A       173 A       130 A   
  17.00 keV   7.977E-01  1.762E+00     677 A       182 A       136 A   
  18.00 keV   8.208E-01  1.736E+00     715 A       191 A       143 A   
  20.00 keV   8.652E-01  1.686E+00     793 A       208 A       156 A   
  22.50 keV   9.177E-01  1.628E+00     890 A       229 A       172 A   
  25.00 keV   9.674E-01  1.574E+00     988 A       250 A       189 A   
  27.50 keV   1.015E+00  1.524E+00    1086 A       270 A       205 A   
  30.00 keV   1.060E+00  1.477E+00    1185 A       290 A       221 A   
  32.50 keV   1.103E+00  1.434E+00    1284 A       309 A       237 A   
  35.00 keV   1.145E+00  1.394E+00    1383 A       328 A       253 A   
  37.50 keV   1.185E+00  1.356E+00    1482 A       346 A       269 A   
  40.00 keV   1.224E+00  1.320E+00    1582 A       364 A       284 A   
  45.00 keV   1.352E+00  1.255E+00    1779 A       399 A       315 A   
