 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> October 27, 2025 
 ==================================================================

 Disk File Name = SRIM Outputs\Actinium in Aluminum.txt

 Ion = Actinium [89] , Mass = 229 amu

 Target Density =  2.7020E+00 g/cm3 = 6.0305E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Al     13    100.00    100.00   
 ====================================
 Bragg Correction = -1.56%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   6.703E-01  5.806E+00     107 A        26 A        19 A   
  11.00 keV   7.030E-01  6.044E+00     112 A        27 A        20 A   
  12.00 keV   7.343E-01  6.266E+00     117 A        28 A        21 A   
  13.00 keV   7.642E-01  6.474E+00     122 A        29 A        21 A   
  14.00 keV   7.931E-01  6.670E+00     127 A        30 A        22 A   
  15.00 keV   8.209E-01  6.855E+00     131 A        31 A        23 A   
  16.00 keV   8.479E-01  7.031E+00     135 A        32 A        24 A   
  17.00 keV   8.740E-01  7.197E+00     139 A        33 A        24 A   
  18.00 keV   8.993E-01  7.356E+00     144 A        34 A        25 A   
  20.00 keV   9.479E-01  7.653E+00     152 A        35 A        26 A   
  22.50 keV   1.005E+00  7.989E+00     161 A        37 A        28 A   
  25.00 keV   1.060E+00  8.295E+00     170 A        39 A        29 A   
  27.50 keV   1.112E+00  8.575E+00     179 A        41 A        31 A   
  30.00 keV   1.161E+00  8.832E+00     188 A        42 A        32 A   
  32.50 keV   1.208E+00  9.070E+00     196 A        44 A        33 A   
  35.00 keV   1.254E+00  9.292E+00     204 A        45 A        35 A   
  37.50 keV   1.298E+00  9.499E+00     212 A        47 A        36 A   
  40.00 keV   1.341E+00  9.693E+00     220 A        48 A        37 A   
  45.00 keV   1.422E+00  1.005E+01     235 A        51 A        39 A   
  50.00 keV   1.499E+00  1.036E+01     249 A        54 A        42 A   
