 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> January 13, 2026 
 ==================================================================

 Disk File Name = SRIM Outputs\229Ac_C.txt

 Ion = Actinium [89] , Mass = 229 amu

 Target Density =  2.2530E+00 g/cm3 = 1.1296E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      C      6    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   1.196E+00  7.093E+00     106 A        17 A        12 A   
  11.00 keV   1.254E+00  7.379E+00     111 A        18 A        13 A   
  12.00 keV   1.310E+00  7.645E+00     116 A        18 A        13 A   
  13.00 keV   1.363E+00  7.895E+00     121 A        19 A        14 A   
  14.00 keV   1.415E+00  8.130E+00     125 A        20 A        14 A   
  15.00 keV   1.465E+00  8.351E+00     130 A        20 A        15 A   
  16.00 keV   1.513E+00  8.561E+00     134 A        21 A        15 A   
  17.00 keV   1.559E+00  8.760E+00     138 A        21 A        16 A   
  18.00 keV   1.604E+00  8.949E+00     142 A        22 A        16 A   
  20.00 keV   1.691E+00  9.303E+00     150 A        23 A        17 A   
  22.50 keV   1.794E+00  9.704E+00     160 A        24 A        18 A   
  25.00 keV   1.891E+00  1.007E+01     169 A        25 A        19 A   
  27.50 keV   1.983E+00  1.040E+01     177 A        26 A        20 A   
  30.00 keV   2.071E+00  1.070E+01     186 A        27 A        21 A   
  32.50 keV   2.156E+00  1.098E+01     194 A        28 A        21 A   
  35.00 keV   2.237E+00  1.125E+01     202 A        29 A        22 A   
  37.50 keV   2.316E+00  1.149E+01     210 A        30 A        23 A   
  40.00 keV   2.392E+00  1.172E+01     218 A        31 A        24 A   
  45.00 keV   2.537E+00  1.213E+01     232 A        33 A        25 A   
  50.00 keV   2.674E+00  1.250E+01     247 A        34 A        27 A   
