 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> July 14, 2025 
 ==================================================================

 Disk File Name = SRIM Outputs\Actinium in  H- C.txt

 Ion = Actinium [89] , Mass = 229 amu

 Target Density =  9.3000E-01 g/cm3 = 1.1979E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    066.67    014.37
      C      6    033.33    085.63
 ====================================
 Bragg Correction = -1.56%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   1.423E+00  7.996E+00     231 A        33 A        23 A
  11.00 keV   1.493E+00  8.326E+00     242 A        34 A        24 A
  12.00 keV   1.559E+00  8.633E+00     253 A        35 A        25 A
  13.00 keV   1.623E+00  8.921E+00     263 A        37 A        26 A
  14.00 keV   1.684E+00  9.193E+00     272 A        38 A        27 A
  15.00 keV   1.743E+00  9.449E+00     282 A        39 A        28 A
  16.00 keV   1.801E+00  9.692E+00     291 A        40 A        29 A
  17.00 keV   1.856E+00  9.924E+00     300 A        41 A        30 A
  18.00 keV   1.910E+00  1.014E+01     308 A        42 A        31 A
  20.00 keV   2.013E+00  1.056E+01     325 A        44 A        32 A
  22.50 keV   2.135E+00  1.102E+01     346 A        46 A        34 A
  25.00 keV   2.251E+00  1.145E+01     365 A        48 A        36 A
  27.50 keV   2.361E+00  1.184E+01     384 A        50 A        38 A
  30.00 keV   2.466E+00  1.220E+01     402 A        52 A        39 A
  32.50 keV   2.566E+00  1.253E+01     419 A        54 A        41 A
  35.00 keV   2.663E+00  1.284E+01     436 A        56 A        43 A
  37.50 keV   2.757E+00  1.313E+01     453 A        58 A        44 A
  40.00 keV   2.847E+00  1.340E+01     469 A        59 A        46 A
  45.00 keV   3.020E+00  1.389E+01     501 A        63 A        48 A
  50.00 keV   3.183E+00  1.433E+01     531 A        66 A        51 A
