 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> October 27, 2025 
 ==================================================================

 Disk File Name = SRIM Outputs\Actinium in  H- C.txt

 Ion = Actinium [89] , Mass = 230 amu

 Target Density =  9.3000E-01 g/cm3 = 1.1979E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    066.67    014.37   
      C      6    033.33    085.63   
 ====================================
 Bragg Correction = -1.56%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   1.420E+00  7.983E+00     232 A        33 A        23 A   
  11.00 keV   1.490E+00  8.312E+00     243 A        34 A        24 A   
  12.00 keV   1.556E+00  8.619E+00     253 A        36 A        25 A   
  13.00 keV   1.619E+00  8.907E+00     263 A        37 A        26 A   
  14.00 keV   1.681E+00  9.179E+00     273 A        38 A        27 A   
  15.00 keV   1.740E+00  9.435E+00     282 A        39 A        28 A   
  16.00 keV   1.797E+00  9.678E+00     291 A        40 A        29 A   
  17.00 keV   1.852E+00  9.909E+00     300 A        41 A        30 A   
  18.00 keV   1.906E+00  1.013E+01     309 A        42 A        31 A   
  20.00 keV   2.009E+00  1.054E+01     326 A        44 A        32 A   
  22.50 keV   2.131E+00  1.101E+01     346 A        46 A        34 A   
  25.00 keV   2.246E+00  1.143E+01     366 A        48 A        36 A   
  27.50 keV   2.355E+00  1.182E+01     384 A        50 A        38 A   
  30.00 keV   2.460E+00  1.218E+01     402 A        52 A        39 A   
  32.50 keV   2.561E+00  1.251E+01     420 A        54 A        41 A   
  35.00 keV   2.657E+00  1.282E+01     437 A        56 A        43 A   
  37.50 keV   2.751E+00  1.311E+01     454 A        58 A        44 A   
  40.00 keV   2.841E+00  1.338E+01     470 A        59 A        46 A   
  45.00 keV   3.013E+00  1.388E+01     501 A        63 A        48 A   
