 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> October 27, 2025 
 ==================================================================

 Disk File Name = SRIM Outputs\Actinium in Silicon.txt

 Ion = Actinium [89] , Mass = 230 amu

 Target Density =  2.3212E+00 g/cm3 = 4.9770E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Si     14    100.00    100.00   
 ====================================
 Bragg Correction = -1.56%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   6.142E-01  5.822E+00     126 A        32 A        23 A   
  11.00 keV   6.441E-01  6.062E+00     132 A        33 A        24 A   
  12.00 keV   6.728E-01  6.287E+00     137 A        34 A        25 A   
  13.00 keV   7.002E-01  6.497E+00     143 A        35 A        26 A   
  14.00 keV   7.267E-01  6.696E+00     148 A        36 A        27 A   
  15.00 keV   7.522E-01  6.884E+00     153 A        38 A        27 A   
  16.00 keV   7.768E-01  7.061E+00     158 A        39 A        28 A   
  17.00 keV   8.008E-01  7.230E+00     163 A        40 A        29 A   
  18.00 keV   8.240E-01  7.392E+00     168 A        41 A        30 A   
  20.00 keV   8.685E-01  7.693E+00     177 A        42 A        31 A   
  22.50 keV   9.212E-01  8.035E+00     188 A        45 A        33 A   
  25.00 keV   9.711E-01  8.347E+00     199 A        47 A        35 A   
  27.50 keV   1.018E+00  8.631E+00     209 A        49 A        37 A   
  30.00 keV   1.064E+00  8.894E+00     219 A        51 A        38 A   
  32.50 keV   1.107E+00  9.137E+00     229 A        53 A        40 A   
  35.00 keV   1.149E+00  9.363E+00     238 A        54 A        41 A   
  37.50 keV   1.189E+00  9.574E+00     248 A        56 A        43 A   
  40.00 keV   1.228E+00  9.772E+00     257 A        58 A        44 A   
  45.00 keV   1.303E+00  1.013E+01     274 A        61 A        47 A   
  50.00 keV   1.373E+00  1.046E+01     291 A        64 A        50 A   
