 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> October 27, 2025 
 ==================================================================

 Disk File Name = SRIM Outputs\Uranium in Aluminum.txt

 Ion = Uranium [92] , Mass = 233 amu

 Target Density =  2.7020E+00 g/cm3 = 6.0305E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Al     13    100.00    100.00   
 ====================================
 Bragg Correction = -1.56%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   7.517E-01  5.851E+00     106 A        26 A        18 A   
  11.00 keV   7.884E-01  6.092E+00     111 A        27 A        19 A   
  12.00 keV   8.234E-01  6.318E+00     116 A        28 A        20 A   
  13.00 keV   8.571E-01  6.530E+00     120 A        29 A        21 A   
  14.00 keV   8.894E-01  6.730E+00     125 A        30 A        22 A   
  15.00 keV   9.206E-01  6.919E+00     129 A        31 A        22 A   
  16.00 keV   9.508E-01  7.098E+00     134 A        31 A        23 A   
  17.00 keV   9.801E-01  7.268E+00     138 A        32 A        24 A   
  18.00 keV   1.009E+00  7.430E+00     142 A        33 A        24 A   
  20.00 keV   1.063E+00  7.733E+00     149 A        35 A        25 A   
  22.50 keV   1.128E+00  8.078E+00     159 A        36 A        27 A   
  25.00 keV   1.189E+00  8.391E+00     168 A        38 A        28 A   
  27.50 keV   1.247E+00  8.677E+00     176 A        40 A        30 A   
  30.00 keV   1.302E+00  8.941E+00     185 A        41 A        31 A   
  32.50 keV   1.355E+00  9.186E+00     193 A        43 A        32 A   
  35.00 keV   1.406E+00  9.414E+00     201 A        44 A        34 A   
  37.50 keV   1.456E+00  9.626E+00     209 A        46 A        35 A   
  40.00 keV   1.503E+00  9.826E+00     216 A        47 A        36 A   
  45.00 keV   1.595E+00  1.019E+01     231 A        50 A        38 A   
  50.00 keV   1.681E+00  1.052E+01     245 A        52 A        40 A   
