 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> January 13, 2026 
 ==================================================================

 Disk File Name = SRIM Outputs\233U_C.txt

 Ion = Uranium [92] , Mass = 233 amu

 Target Density =  2.2530E+00 g/cm3 = 1.1296E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      C      6    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   1.341E+00  7.137E+00     104 A        16 A        12 A   
  11.00 keV   1.407E+00  7.427E+00     109 A        17 A        12 A   
  12.00 keV   1.469E+00  7.698E+00     114 A        18 A        13 A   
  13.00 keV   1.529E+00  7.952E+00     119 A        18 A        13 A   
  14.00 keV   1.587E+00  8.191E+00     123 A        19 A        14 A   
  15.00 keV   1.642E+00  8.417E+00     127 A        20 A        14 A   
  16.00 keV   1.696E+00  8.630E+00     132 A        20 A        15 A   
  17.00 keV   1.749E+00  8.833E+00     136 A        21 A        15 A   
  18.00 keV   1.799E+00  9.027E+00     140 A        21 A        15 A   
  20.00 keV   1.897E+00  9.388E+00     147 A        22 A        16 A   
  22.50 keV   2.012E+00  9.798E+00     157 A        23 A        17 A   
  25.00 keV   2.120E+00  1.017E+01     165 A        24 A        18 A   
  27.50 keV   2.224E+00  1.051E+01     174 A        25 A        19 A   
  30.00 keV   2.323E+00  1.082E+01     182 A        26 A        20 A   
  32.50 keV   2.418E+00  1.111E+01     190 A        27 A        21 A   
  35.00 keV   2.509E+00  1.138E+01     198 A        28 A        21 A   
  37.50 keV   2.597E+00  1.163E+01     206 A        29 A        22 A   
  40.00 keV   2.682E+00  1.186E+01     213 A        30 A        23 A   
  45.00 keV   2.845E+00  1.229E+01     227 A        32 A        24 A   
  50.00 keV   2.999E+00  1.268E+01     241 A        33 A        26 A   
