 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> October 27, 2025 
 ==================================================================

 Disk File Name = SRIM Outputs\Uranium in  H- C.txt

 Ion = Uranium [92] , Mass = 233 amu

 Target Density =  9.3000E-01 g/cm3 = 1.1979E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    066.67    014.37   
      C      6    033.33    085.63   
 ====================================
 Bragg Correction = -1.56%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   1.596E+00  8.038E+00     227 A        32 A        22 A   
  11.00 keV   1.674E+00  8.372E+00     238 A        33 A        23 A   
  12.00 keV   1.749E+00  8.684E+00     248 A        34 A        24 A   
  13.00 keV   1.820E+00  8.977E+00     258 A        36 A        25 A   
  14.00 keV   1.889E+00  9.253E+00     267 A        37 A        26 A   
  15.00 keV   1.955E+00  9.514E+00     276 A        38 A        27 A   
  16.00 keV   2.019E+00  9.761E+00     285 A        39 A        28 A   
  17.00 keV   2.081E+00  9.997E+00     294 A        40 A        29 A   
  18.00 keV   2.142E+00  1.022E+01     303 A        41 A        29 A   
  20.00 keV   2.258E+00  1.064E+01     319 A        43 A        31 A   
  22.50 keV   2.395E+00  1.112E+01     339 A        45 A        33 A   
  25.00 keV   2.524E+00  1.155E+01     358 A        47 A        35 A   
  27.50 keV   2.647E+00  1.195E+01     376 A        49 A        36 A   
  30.00 keV   2.765E+00  1.232E+01     393 A        51 A        38 A   
  32.50 keV   2.878E+00  1.266E+01     410 A        52 A        39 A   
  35.00 keV   2.987E+00  1.298E+01     427 A        54 A        41 A   
  37.50 keV   3.091E+00  1.327E+01     443 A        56 A        42 A   
  40.00 keV   3.193E+00  1.355E+01     459 A        57 A        44 A   
  45.00 keV   3.386E+00  1.406E+01     489 A        61 A        47 A   
