 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> October 27, 2025 
 ==================================================================

 Disk File Name = SRIM Outputs\Uranium in Silicon.txt

 Ion = Uranium [92] , Mass = 233 amu

 Target Density =  2.3212E+00 g/cm3 = 4.9770E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Si     14    100.00    100.00   
 ====================================
 Bragg Correction = -1.56%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   6.902E-01  5.873E+00     124 A        31 A        22 A   
  11.00 keV   7.239E-01  6.117E+00     130 A        32 A        23 A   
  12.00 keV   7.561E-01  6.346E+00     136 A        33 A        24 A   
  13.00 keV   7.870E-01  6.561E+00     141 A        35 A        25 A   
  14.00 keV   8.167E-01  6.763E+00     146 A        36 A        26 A   
  15.00 keV   8.454E-01  6.954E+00     151 A        37 A        27 A   
  16.00 keV   8.731E-01  7.136E+00     156 A        38 A        28 A   
  17.00 keV   9.000E-01  7.308E+00     161 A        39 A        28 A   
  18.00 keV   9.261E-01  7.473E+00     166 A        40 A        29 A   
  20.00 keV   9.762E-01  7.781E+00     175 A        41 A        31 A   
  22.50 keV   1.035E+00  8.131E+00     185 A        44 A        32 A   
  25.00 keV   1.091E+00  8.450E+00     196 A        46 A        34 A   
  27.50 keV   1.145E+00  8.741E+00     206 A        48 A        36 A   
  30.00 keV   1.196E+00  9.010E+00     216 A        50 A        37 A   
  32.50 keV   1.244E+00  9.260E+00     225 A        51 A        39 A   
  35.00 keV   1.291E+00  9.492E+00     234 A        53 A        40 A   
  37.50 keV   1.337E+00  9.709E+00     243 A        55 A        42 A   
  40.00 keV   1.380E+00  9.913E+00     252 A        56 A        43 A   
  45.00 keV   1.464E+00  1.029E+01     269 A        60 A        46 A   
  50.00 keV   1.543E+00  1.062E+01     286 A        63 A        48 A   
