 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> January 28, 2022 
 ==================================================================

 Disk File Name = SRIM Outputs\26Na_CD2.txt

 Ion = Sodium [11] , Mass = 26 amu

 Target Density =  9.0000E-01 g/cm3 = 1.0156E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    066.67    014.37   
      C      6    033.33    085.63   
 ====================================
 Bragg Correction = -1.56%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   5.434E-01  2.327E+00     386 A       104 A        80 A   
  11.00 keV   5.699E-01  2.303E+00     420 A       112 A        86 A   
  12.00 keV   5.952E-01  2.278E+00     454 A       120 A        92 A   
  13.00 keV   6.196E-01  2.253E+00     488 A       128 A        98 A   
  14.00 keV   6.429E-01  2.227E+00     523 A       136 A       104 A   
  15.00 keV   6.655E-01  2.202E+00     557 A       144 A       110 A   
  16.00 keV   6.873E-01  2.176E+00     592 A       152 A       116 A   
  17.00 keV   7.085E-01  2.150E+00     626 A       159 A       121 A   
  18.00 keV   7.290E-01  2.125E+00     661 A       167 A       127 A   
  20.00 keV   7.685E-01  2.076E+00     731 A       182 A       139 A   
  22.50 keV   8.151E-01  2.017E+00     819 A       200 A       153 A   
  25.00 keV   8.592E-01  1.961E+00     908 A       219 A       167 A   
  27.50 keV   9.011E-01  1.908E+00     997 A       237 A       181 A   
  30.00 keV   9.412E-01  1.858E+00    1087 A       254 A       195 A   
  32.50 keV   9.796E-01  1.811E+00    1177 A       272 A       209 A   
  35.00 keV   1.017E+00  1.767E+00    1268 A       289 A       223 A   
  37.50 keV   1.052E+00  1.725E+00    1360 A       306 A       237 A   
  40.00 keV   1.087E+00  1.685E+00    1451 A       322 A       251 A   
  45.00 keV   1.153E+00  1.611E+00    1636 A       355 A       279 A   
