 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> July 07, 2022 
 ==================================================================

 Disk File Name = SRIM Outputs\28Mg_tTi.txt

 Ion = Magnesium [12] , Mass = 28 amu

 Target Density =  2.2952E+00 g/cm3 = 5.4309E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Ti     22    050.00    097.94   
      H      1    050.00    002.06   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   1.613E-01  1.012E+00     260 A       161 A       115 A   
  11.00 keV   1.691E-01  1.015E+00     282 A       173 A       124 A   
  12.00 keV   1.766E-01  1.017E+00     304 A       185 A       132 A   
  13.00 keV   1.839E-01  1.018E+00     326 A       197 A       141 A   
  14.00 keV   1.908E-01  1.017E+00     348 A       209 A       149 A   
  15.00 keV   1.975E-01  1.016E+00     370 A       221 A       157 A   
  16.00 keV   2.040E-01  1.014E+00     392 A       233 A       165 A   
  17.00 keV   2.102E-01  1.012E+00     414 A       244 A       173 A   
  18.00 keV   2.163E-01  1.009E+00     436 A       256 A       181 A   
  20.00 keV   2.280E-01  1.003E+00     480 A       279 A       197 A   
  22.50 keV   2.419E-01  9.938E-01     536 A       308 A       217 A   
  25.00 keV   2.550E-01  9.835E-01     592 A       336 A       237 A   
  27.50 keV   2.674E-01  9.727E-01     648 A       364 A       256 A   
  30.00 keV   2.793E-01  9.615E-01     705 A       392 A       276 A   
  32.50 keV   2.907E-01  9.502E-01     762 A       420 A       295 A   
  35.00 keV   3.017E-01  9.388E-01     820 A       448 A       315 A   
  37.50 keV   3.123E-01  9.275E-01     878 A       476 A       334 A   
  40.00 keV   3.225E-01  9.163E-01     937 A       504 A       353 A   
  45.00 keV   3.421E-01  8.943E-01    1055 A       558 A       392 A   
