 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> January 28, 2022 
 ==================================================================

 Disk File Name = SRIM Outputs\30Mg_CD2.txt

 Ion = Magnesium [12] , Mass = 30 amu

 Target Density =  9.0000E-01 g/cm3 = 1.0156E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    066.67    014.37   
      C      6    033.33    085.63   
 ====================================
 Bragg Correction = -1.56%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   4.446E-01  2.635E+00     370 A        97 A        75 A   
  11.00 keV   4.663E-01  2.618E+00     402 A       104 A        81 A   
  12.00 keV   4.870E-01  2.599E+00     434 A       111 A        86 A   
  13.00 keV   5.069E-01  2.578E+00     466 A       118 A        92 A   
  14.00 keV   5.260E-01  2.557E+00     498 A       125 A        97 A   
  15.00 keV   5.445E-01  2.534E+00     531 A       132 A       102 A   
  16.00 keV   5.623E-01  2.512E+00     563 A       139 A       108 A   
  17.00 keV   5.797E-01  2.488E+00     595 A       146 A       113 A   
  18.00 keV   5.965E-01  2.465E+00     628 A       153 A       118 A   
  20.00 keV   6.287E-01  2.419E+00     693 A       167 A       129 A   
  22.50 keV   6.669E-01  2.362E+00     776 A       185 A       142 A   
  25.00 keV   7.029E-01  2.307E+00     859 A       202 A       155 A   
  27.50 keV   7.372E-01  2.254E+00     943 A       219 A       169 A   
  30.00 keV   7.700E-01  2.203E+00    1028 A       235 A       182 A   
  32.50 keV   8.015E-01  2.154E+00    1113 A       252 A       195 A   
  35.00 keV   8.317E-01  2.107E+00    1199 A       268 A       208 A   
  37.50 keV   8.609E-01  2.063E+00    1286 A       284 A       221 A   
  40.00 keV   8.892E-01  2.021E+00    1374 A       300 A       234 A   
  45.00 keV   9.431E-01  1.941E+00    1550 A       333 A       260 A   
