 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> October 07, 2024 
 ==================================================================

 Disk File Name = SRIM Outputs\38K_CD2.txt

 Ion = Potassium [19] , Mass = 38 amu

 Target Density =  9.3000E-01 g/cm3 = 1.1979E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    066.67    014.37   
      C      6    033.33    085.63   
 ====================================
 Bragg Correction = 0.54%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   1.019E+00  4.650E+00     232 A        57 A        46 A   
  11.00 keV   1.069E+00  4.687E+00     249 A        60 A        49 A   
  12.00 keV   1.116E+00  4.717E+00     265 A        64 A        52 A   
  13.00 keV   1.162E+00  4.739E+00     282 A        67 A        54 A   
  14.00 keV   1.206E+00  4.756E+00     298 A        70 A        57 A   
  15.00 keV   1.248E+00  4.768E+00     315 A        73 A        60 A   
  16.00 keV   1.289E+00  4.776E+00     331 A        76 A        62 A   
  17.00 keV   1.328E+00  4.780E+00     347 A        79 A        65 A   
  18.00 keV   1.367E+00  4.782E+00     363 A        82 A        67 A   
  20.00 keV   1.441E+00  4.779E+00     394 A        88 A        72 A   
  22.50 keV   1.528E+00  4.764E+00     433 A        96 A        78 A   
  25.00 keV   1.611E+00  4.741E+00     472 A       103 A        84 A   
  27.50 keV   1.690E+00  4.712E+00     511 A       110 A        90 A   
  30.00 keV   1.765E+00  4.680E+00     549 A       117 A        95 A   
  32.50 keV   1.837E+00  4.644E+00     588 A       123 A       101 A   
  35.00 keV   1.906E+00  4.606E+00     626 A       130 A       106 A   
  37.50 keV   1.973E+00  4.567E+00     664 A       136 A       112 A   
  40.00 keV   2.038E+00  4.526E+00     702 A       143 A       117 A   
  45.00 keV   2.161E+00  4.444E+00     777 A       155 A       128 A   
