 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> April 17, 2023 
 ==================================================================

 Disk File Name = SRIM Outputs\3H_Al.txt.txt

 Ion = Hydrogen [1] , Mass = 3 amu

 Target Density =  2.7020E+00 g/cm3 = 6.0305E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Al     13    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
999.999 eV    5.474E-02  2.875E-02     182 A       174 A       132 A   
   1.10 keV   5.741E-02  2.827E-02     200 A       186 A       142 A   
   1.20 keV   5.996E-02  2.780E-02     217 A       199 A       152 A   
   1.30 keV   6.241E-02  2.734E-02     235 A       210 A       162 A   
   1.40 keV   6.477E-02  2.688E-02     253 A       222 A       171 A   
   1.50 keV   6.704E-02  2.644E-02     271 A       233 A       180 A   
   1.60 keV   6.924E-02  2.601E-02     289 A       244 A       189 A   
   1.70 keV   7.137E-02  2.559E-02     306 A       255 A       198 A   
   1.80 keV   7.344E-02  2.519E-02     324 A       266 A       207 A   
   2.00 keV   7.741E-02  2.442E-02     360 A       286 A       224 A   
   2.25 keV   8.211E-02  2.352E-02     405 A       310 A       245 A   
   2.50 keV   8.655E-02  2.269E-02     450 A       334 A       265 A   
   2.75 keV   9.077E-02  2.193E-02     494 A       356 A       284 A   
   3.00 keV   9.481E-02  2.122E-02     539 A       377 A       303 A   
   3.25 keV   9.868E-02  2.057E-02     584 A       397 A       321 A   
   3.50 keV   1.024E-01  1.996E-02     628 A       417 A       339 A   
   3.75 keV   1.060E-01  1.939E-02     672 A       435 A       356 A   
   4.00 keV   1.095E-01  1.886E-02     716 A       453 A       373 A   
   4.50 keV   1.161E-01  1.789E-02     803 A       487 A       405 A   
   5.00 keV   1.224E-01  1.703E-02     889 A       519 A       436 A   
