 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> January 28, 2022 
 ==================================================================

 Disk File Name = SRIM Outputs\3H_CD2.txt

 Ion = Hydrogen [1] , Mass = 3 amu

 Target Density =  9.0000E-01 g/cm3 = 1.0156E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    066.67    014.37   
      C      6    033.33    085.63   
 ====================================
 Bragg Correction = -1.56%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   3.408E-01  1.893E-02    3525 A       801 A       836 A   
  11.00 keV   3.565E-01  1.771E-02    3803 A       828 A       876 A   
  12.00 keV   3.715E-01  1.666E-02    4072 A       853 A       913 A   
  13.00 keV   3.858E-01  1.573E-02    4334 A       875 A       947 A   
  14.00 keV   3.996E-01  1.492E-02    4589 A       896 A       979 A   
  15.00 keV   4.128E-01  1.420E-02    4837 A       915 A      1009 A   
  16.00 keV   4.255E-01  1.355E-02    5079 A       932 A      1037 A   
  17.00 keV   4.377E-01  1.296E-02    5315 A       948 A      1063 A   
  18.00 keV   4.496E-01  1.243E-02    5546 A       963 A      1088 A   
  20.00 keV   4.721E-01  1.150E-02    5994 A       990 A      1134 A   
  22.50 keV   4.985E-01  1.053E-02    6529 A      1021 A      1186 A   
  25.00 keV   5.231E-01  9.725E-03    7042 A      1048 A      1232 A   
  27.50 keV   5.461E-01  9.047E-03    7535 A      1071 A      1274 A   
  30.00 keV   5.678E-01  8.466E-03    8011 A      1092 A      1312 A   
  32.50 keV   5.882E-01  7.961E-03    8471 A      1111 A      1347 A   
  35.00 keV   6.076E-01  7.519E-03    8918 A      1128 A      1379 A   
  37.50 keV   6.258E-01  7.128E-03    9352 A      1143 A      1409 A   
  40.00 keV   6.432E-01  6.778E-03    9775 A      1158 A      1437 A   
