 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> January 28, 2022 
 ==================================================================

 Disk File Name = SRIM Outputs\3H_tTi.txt

 Ion = Hydrogen [1] , Mass = 3 amu

 Target Density =  2.2952E+00 g/cm3 = 5.4309E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Ti     22    050.00    097.94   
      H      1    050.00    002.06   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   1.316E-01  8.480E-03    2285 A      1259 A      1085 A   
  11.00 keV   1.379E-01  8.066E-03    2494 A      1322 A      1151 A   
  12.00 keV   1.438E-01  7.698E-03    2700 A      1380 A      1213 A   
  13.00 keV   1.496E-01  7.366E-03    2903 A      1434 A      1272 A   
  14.00 keV   1.550E-01  7.067E-03    3103 A      1485 A      1328 A   
  15.00 keV   1.603E-01  6.795E-03    3300 A      1533 A      1382 A   
  16.00 keV   1.654E-01  6.547E-03    3494 A      1578 A      1433 A   
  17.00 keV   1.703E-01  6.319E-03    3686 A      1620 A      1482 A   
  18.00 keV   1.751E-01  6.108E-03    3874 A      1660 A      1529 A   
  20.00 keV   1.842E-01  5.733E-03    4244 A      1735 A      1618 A   
  22.50 keV   1.948E-01  5.333E-03    4693 A      1818 A      1721 A   
  25.00 keV   2.048E-01  4.992E-03    5128 A      1892 A      1816 A   
  27.50 keV   2.142E-01  4.698E-03    5551 A      1959 A      1903 A   
  30.00 keV   2.231E-01  4.441E-03    5964 A      2020 A      1985 A   
  32.50 keV   2.315E-01  4.214E-03    6366 A      2076 A      2061 A   
  35.00 keV   2.395E-01  4.012E-03    6758 A      2127 A      2132 A   
  37.50 keV   2.471E-01  3.831E-03    7142 A      2174 A      2200 A   
  40.00 keV   2.544E-01  3.668E-03    7518 A      2218 A      2263 A   
