 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> April 17, 2023 
 ==================================================================

 Disk File Name = SRIM Outputs\3H_Al.txt

 Ion = Helium [2] , Mass = 3 amu

 Target Density =  2.7020E+00 g/cm3 = 6.0305E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Al     13    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
999.999 eV    9.187E-02  5.812E-02      97 A       102 A        77 A   
   1.10 keV   9.636E-02  5.793E-02     105 A       109 A        82 A   
   1.20 keV   1.006E-01  5.769E-02     114 A       116 A        87 A   
   1.30 keV   1.048E-01  5.739E-02     123 A       123 A        93 A   
   1.40 keV   1.087E-01  5.706E-02     131 A       129 A        98 A   
   1.50 keV   1.125E-01  5.670E-02     140 A       135 A       103 A   
   1.60 keV   1.162E-01  5.632E-02     148 A       142 A       108 A   
   1.70 keV   1.198E-01  5.592E-02     157 A       148 A       112 A   
   1.80 keV   1.233E-01  5.552E-02     165 A       154 A       117 A   
   2.00 keV   1.299E-01  5.468E-02     182 A       165 A       126 A   
   2.25 keV   1.378E-01  5.363E-02     203 A       179 A       138 A   
   2.50 keV   1.453E-01  5.257E-02     225 A       193 A       149 A   
   2.75 keV   1.524E-01  5.154E-02     246 A       206 A       159 A   
   3.00 keV   1.591E-01  5.053E-02     267 A       218 A       170 A   
   3.25 keV   1.656E-01  4.956E-02     288 A       230 A       180 A   
   3.50 keV   1.719E-01  4.861E-02     309 A       242 A       189 A   
   3.75 keV   1.779E-01  4.770E-02     330 A       253 A       199 A   
   4.00 keV   1.837E-01  4.683E-02     351 A       264 A       208 A   
   4.50 keV   1.949E-01  4.517E-02     393 A       285 A       227 A   
   5.00 keV   2.054E-01  4.364E-02     435 A       305 A       244 A   
