 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> January 28, 2022 
 ==================================================================

 Disk File Name = SRIM Outputs\3He_CD2.txt

 Ion = Helium [2] , Mass = 3 amu

 Target Density =  9.0000E-01 g/cm3 = 1.0156E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    066.67    014.37   
      C      6    033.33    085.63   
 ====================================
 Bragg Correction = -1.56%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   5.243E-01  5.840E-02    1917 A       570 A       540 A   
  11.00 keV   5.506E-01  5.501E-02    2079 A       595 A       571 A   
  12.00 keV   5.757E-01  5.204E-02    2237 A       619 A       601 A   
  13.00 keV   5.998E-01  4.942E-02    2391 A       640 A       628 A   
  14.00 keV   6.230E-01  4.708E-02    2541 A       659 A       654 A   
  15.00 keV   6.454E-01  4.499E-02    2687 A       677 A       678 A   
  16.00 keV   6.669E-01  4.309E-02    2830 A       694 A       701 A   
  17.00 keV   6.878E-01  4.137E-02    2970 A       710 A       723 A   
  18.00 keV   7.080E-01  3.980E-02    3107 A       724 A       744 A   
  20.00 keV   7.464E-01  3.704E-02    3373 A       751 A       782 A   
  22.50 keV   7.912E-01  3.413E-02    3692 A       780 A       826 A   
  25.00 keV   8.327E-01  3.170E-02    3999 A       806 A       865 A   
  27.50 keV   8.712E-01  2.963E-02    4294 A       829 A       901 A   
  30.00 keV   9.071E-01  2.784E-02    4579 A       850 A       934 A   
  32.50 keV   9.406E-01  2.627E-02    4856 A       868 A       964 A   
  35.00 keV   9.721E-01  2.490E-02    5125 A       885 A       992 A   
  37.50 keV   1.002E+00  2.367E-02    5387 A       901 A      1019 A   
  40.00 keV   1.030E+00  2.257E-02    5643 A       915 A      1043 A   
  45.00 keV   1.083E+00  2.068E-02    6138 A       942 A      1088 A   
