 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> January 28, 2022 
 ==================================================================

 Disk File Name = SRIM Outputs\3He_tTi.txt

 Ion = Helium [2] , Mass = 3 amu

 Target Density =  2.2952E+00 g/cm3 = 5.4309E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Ti     22    050.00    097.94   
      H      1    050.00    002.06   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   2.200E-01  2.264E-02    1136 A       766 A       627 A   
  11.00 keV   2.315E-01  2.178E-02    1240 A       809 A       666 A   
  12.00 keV   2.426E-01  2.099E-02    1342 A       849 A       704 A   
  13.00 keV   2.532E-01  2.027E-02    1444 A       887 A       740 A   
  14.00 keV   2.636E-01  1.961E-02    1544 A       922 A       775 A   
  15.00 keV   2.736E-01  1.899E-02    1642 A       956 A       808 A   
  16.00 keV   2.834E-01  1.842E-02    1740 A       988 A       840 A   
  17.00 keV   2.929E-01  1.789E-02    1836 A      1018 A       870 A   
  18.00 keV   3.022E-01  1.740E-02    1931 A      1047 A       900 A   
  20.00 keV   3.202E-01  1.650E-02    2117 A      1100 A       956 A   
  22.50 keV   3.416E-01  1.552E-02    2343 A      1160 A      1020 A   
  25.00 keV   3.621E-01  1.467E-02    2563 A      1214 A      1080 A   
  27.50 keV   3.816E-01  1.393E-02    2776 A      1264 A      1135 A   
  30.00 keV   4.004E-01  1.326E-02    2984 A      1308 A      1187 A   
  32.50 keV   4.185E-01  1.267E-02    3187 A      1349 A      1235 A   
  35.00 keV   4.359E-01  1.214E-02    3384 A      1387 A      1281 A   
  37.50 keV   4.528E-01  1.165E-02    3577 A      1422 A      1323 A   
  40.00 keV   4.692E-01  1.121E-02    3765 A      1454 A      1364 A   
