 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> January 28, 2022 
 ==================================================================

 Disk File Name = SRIM Outputs\40Ar_CD2.txt

 Ion = Argon [18] , Mass = 40 amu

 Target Density =  9.0000E-01 g/cm3 = 1.0156E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    066.67    014.37   
      C      6    033.33    085.63   
 ====================================
 Bragg Correction = -1.56%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   9.476E-01  3.955E+00     271 A        64 A        52 A   
  11.00 keV   9.939E-01  3.974E+00     292 A        68 A        55 A   
  12.00 keV   1.038E+00  3.986E+00     312 A        72 A        58 A   
  13.00 keV   1.080E+00  3.993E+00     332 A        76 A        62 A   
  14.00 keV   1.121E+00  3.996E+00     352 A        80 A        65 A   
  15.00 keV   1.161E+00  3.996E+00     371 A        83 A        68 A   
  16.00 keV   1.199E+00  3.993E+00     391 A        87 A        71 A   
  17.00 keV   1.236E+00  3.987E+00     410 A        91 A        74 A   
  18.00 keV   1.271E+00  3.979E+00     429 A        94 A        77 A   
  20.00 keV   1.340E+00  3.959E+00     468 A       102 A        83 A   
  22.50 keV   1.421E+00  3.927E+00     516 A       110 A        90 A   
  25.00 keV   1.498E+00  3.891E+00     563 A       119 A        97 A   
  27.50 keV   1.572E+00  3.851E+00     611 A       127 A       104 A   
  30.00 keV   1.641E+00  3.810E+00     658 A       136 A       111 A   
  32.50 keV   1.708E+00  3.767E+00     705 A       144 A       118 A   
  35.00 keV   1.773E+00  3.724E+00     751 A       152 A       124 A   
  37.50 keV   1.835E+00  3.680E+00     798 A       159 A       131 A   
  40.00 keV   1.895E+00  3.637E+00     845 A       167 A       137 A   
  45.00 keV   2.010E+00  3.552E+00     938 A       182 A       150 A   
