 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> August 01, 2023 
 ==================================================================

 Disk File Name = SRIM Outputs\49Ca_CD2.txt

 Ion = Calcium [20] , Mass = 48.956 amu

 Target Density =  9.3000E-01 g/cm3 = 1.0483E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    066.67    014.37   
      C      6    033.33    085.63   
 ====================================
 Bragg Correction = 0.54%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   6.970E-01  4.370E+00     264 A        59 A        48 A   
  11.00 keV   7.311E-01  4.408E+00     284 A        63 A        51 A   
  12.00 keV   7.636E-01  4.439E+00     302 A        66 A        54 A   
  13.00 keV   7.947E-01  4.462E+00     321 A        70 A        57 A   
  14.00 keV   8.247E-01  4.481E+00     340 A        73 A        60 A   
  15.00 keV   8.537E-01  4.495E+00     358 A        77 A        63 A   
  16.00 keV   8.817E-01  4.505E+00     377 A        80 A        66 A   
  17.00 keV   9.088E-01  4.511E+00     395 A        83 A        69 A   
  18.00 keV   9.352E-01  4.515E+00     413 A        86 A        71 A   
  20.00 keV   9.858E-01  4.516E+00     449 A        93 A        77 A   
  22.50 keV   1.046E+00  4.507E+00     494 A       101 A        83 A   
  25.00 keV   1.102E+00  4.490E+00     538 A       109 A        90 A   
  27.50 keV   1.156E+00  4.467E+00     583 A       116 A        96 A   
  30.00 keV   1.207E+00  4.440E+00     627 A       124 A       103 A   
  32.50 keV   1.257E+00  4.410E+00     671 A       131 A       109 A   
  35.00 keV   1.304E+00  4.377E+00     715 A       138 A       115 A   
  37.50 keV   1.350E+00  4.343E+00     759 A       146 A       121 A   
  40.00 keV   1.394E+00  4.307E+00     803 A       153 A       127 A   
  45.00 keV   1.479E+00  4.235E+00     891 A       167 A       139 A   
