 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> January 28, 2022 
 ==================================================================

 Disk File Name = SRIM Outputs\4He_CD2.txt

 Ion = Helium [2] , Mass = 4.003 amu

 Target Density =  9.0000E-01 g/cm3 = 1.0156E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    066.67    014.37   
      C      6    033.33    085.63   
 ====================================
 Bragg Correction = -1.56%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   4.525E-01  7.511E-02    2023 A       595 A       551 A   
  11.00 keV   4.750E-01  7.082E-02    2202 A       625 A       587 A   
  12.00 keV   4.966E-01  6.706E-02    2377 A       653 A       620 A   
  13.00 keV   5.174E-01  6.373E-02    2548 A       678 A       652 A   
  14.00 keV   5.374E-01  6.077E-02    2715 A       701 A       682 A   
  15.00 keV   5.568E-01  5.810E-02    2879 A       723 A       710 A   
  16.00 keV   5.755E-01  5.569E-02    3039 A       743 A       737 A   
  17.00 keV   5.937E-01  5.349E-02    3196 A       762 A       763 A   
  18.00 keV   6.113E-01  5.149E-02    3350 A       780 A       787 A   
  20.00 keV   6.451E-01  4.795E-02    3649 A       813 A       833 A   
  22.50 keV   6.850E-01  4.424E-02    4009 A       849 A       885 A   
  25.00 keV   7.224E-01  4.112E-02    4354 A       881 A       932 A   
  27.50 keV   7.576E-01  3.846E-02    4687 A       910 A       974 A   
  30.00 keV   7.909E-01  3.616E-02    5008 A       935 A      1014 A   
  32.50 keV   8.223E-01  3.415E-02    5320 A       958 A      1050 A   
  35.00 keV   8.520E-01  3.237E-02    5622 A       979 A      1084 A   
  37.50 keV   8.801E-01  3.079E-02    5916 A       998 A      1115 A   
  40.00 keV   9.068E-01  2.937E-02    6203 A      1016 A      1145 A   
  45.00 keV   9.563E-01  2.693E-02    6758 A      1048 A      1199 A   
