 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> January 28, 2022 
 ==================================================================

 Disk File Name = SRIM Outputs\4He_Si.txt

 Ion = Helium [2] , Mass = 4 amu

 Target Density =  2.3212E+00 g/cm3 = 4.9770E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Si     14    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   2.311E-01  4.431E-02    1040 A       605 A       502 A   
  11.00 keV   2.422E-01  4.243E-02    1140 A       641 A       536 A   
  12.00 keV   2.527E-01  4.074E-02    1240 A       676 A       569 A   
  13.00 keV   2.629E-01  3.919E-02    1338 A       708 A       601 A   
  14.00 keV   2.731E-01  3.778E-02    1435 A       739 A       632 A   
  15.00 keV   2.832E-01  3.648E-02    1532 A       767 A       662 A   
  16.00 keV   2.934E-01  3.528E-02    1627 A       795 A       690 A   
  17.00 keV   3.036E-01  3.418E-02    1720 A       821 A       718 A   
  18.00 keV   3.139E-01  3.315E-02    1813 A       846 A       744 A   
  20.00 keV   3.344E-01  3.129E-02    1993 A       891 A       794 A   
  22.50 keV   3.597E-01  2.929E-02    2211 A       942 A       852 A   
  25.00 keV   3.844E-01  2.756E-02    2421 A       988 A       905 A   
  27.50 keV   4.084E-01  2.606E-02    2624 A      1028 A       953 A   
  30.00 keV   4.317E-01  2.473E-02    2820 A      1065 A       998 A   
  32.50 keV   4.542E-01  2.355E-02    3009 A      1098 A      1039 A   
  35.00 keV   4.760E-01  2.250E-02    3193 A      1128 A      1078 A   
  37.50 keV   4.972E-01  2.154E-02    3371 A      1156 A      1114 A   
  40.00 keV   5.178E-01  2.068E-02    3544 A      1181 A      1148 A   
  45.00 keV   5.573E-01  1.917E-02    3877 A      1227 A      1209 A   
