 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> January 28, 2022 
 ==================================================================

 Disk File Name = SRIM Outputs\61Zn_CD2.txt

 Ion = Zinc [30] , Mass = 61 amu

 Target Density =  9.0000E-01 g/cm3 = 1.0156E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    066.67    014.37   
      C      6    033.33    085.63   
 ====================================
 Bragg Correction = -1.56%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   6.225E-01  5.820E+00     236 A        51 A        41 A   
  11.00 keV   6.529E-01  5.919E+00     252 A        54 A        44 A   
  12.00 keV   6.820E-01  6.005E+00     267 A        57 A        46 A   
  13.00 keV   7.098E-01  6.080E+00     282 A        60 A        49 A   
  14.00 keV   7.366E-01  6.146E+00     297 A        62 A        51 A   
  15.00 keV   7.625E-01  6.204E+00     312 A        65 A        53 A   
  16.00 keV   7.875E-01  6.256E+00     327 A        67 A        55 A   
  17.00 keV   8.117E-01  6.302E+00     341 A        70 A        58 A   
  18.00 keV   8.352E-01  6.342E+00     355 A        72 A        60 A   
  20.00 keV   8.804E-01  6.410E+00     384 A        77 A        64 A   
  22.50 keV   9.338E-01  6.475E+00     419 A        83 A        69 A   
  25.00 keV   9.843E-01  6.523E+00     453 A        89 A        74 A   
  27.50 keV   1.032E+00  6.557E+00     487 A        95 A        79 A   
  30.00 keV   1.078E+00  6.580E+00     521 A       100 A        84 A   
  32.50 keV   1.122E+00  6.594E+00     555 A       106 A        89 A   
  35.00 keV   1.165E+00  6.602E+00     588 A       111 A        93 A   
  37.50 keV   1.206E+00  6.604E+00     621 A       117 A        98 A   
  40.00 keV   1.245E+00  6.600E+00     654 A       122 A       103 A   
  45.00 keV   1.321E+00  6.583E+00     720 A       132 A       112 A   
