 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> September 29, 2022 
 ==================================================================

 Disk File Name = SRIM Outputs\66Ni_CD2.txt

 Ion = Nickel [28] , Mass = 66 amu

 Target Density =  9.3000E-01 g/cm3 = 1.0494E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    066.67    014.37   
      C      6    033.33    085.63   
 ====================================
 Bragg Correction = 0.54%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   3.279E-01  5.547E+00     249 A        53 A        43 A   
  11.00 keV   3.439E-01  5.640E+00     266 A        56 A        45 A   
  12.00 keV   3.592E-01  5.722E+00     282 A        59 A        48 A   
  13.00 keV   3.739E-01  5.793E+00     298 A        62 A        50 A   
  14.00 keV   3.880E-01  5.855E+00     314 A        64 A        53 A   
  15.00 keV   4.016E-01  5.910E+00     330 A        67 A        55 A   
  16.00 keV   4.148E-01  5.959E+00     346 A        70 A        57 A   
  17.00 keV   4.276E-01  6.002E+00     361 A        72 A        60 A   
  18.00 keV   4.400E-01  6.040E+00     377 A        75 A        62 A   
  20.00 keV   4.638E-01  6.104E+00     407 A        80 A        67 A   
  22.50 keV   4.919E-01  6.165E+00     445 A        87 A        72 A   
  25.00 keV   5.185E-01  6.210E+00     482 A        93 A        77 A   
  27.50 keV   5.438E-01  6.241E+00     519 A        99 A        83 A   
  30.00 keV   5.680E-01  6.263E+00     556 A       105 A        88 A   
  32.50 keV   5.912E-01  6.276E+00     592 A       111 A        93 A   
  35.00 keV   6.135E-01  6.283E+00     629 A       117 A        98 A   
  37.50 keV   6.350E-01  6.284E+00     665 A       122 A       103 A   
  40.00 keV   6.559E-01  6.280E+00     701 A       128 A       108 A   
  45.00 keV   6.957E-01  6.262E+00     774 A       140 A       118 A   
