 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> November 17, 2022 
 ==================================================================

 Disk File Name = SRIM Outputs\68Ga_CD2.txt

 Ion = Gallium [31] , Mass = 68 amu

 Target Density =  9.3000E-01 g/cm3 = 1.1979E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    066.67    014.37   
      C      6    033.33    085.63   
 ====================================
 Bragg Correction = 0.54%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   6.820E-01  6.488E+00     216 A        46 A        37 A   
  11.00 keV   7.153E-01  6.623E+00     230 A        49 A        39 A   
  12.00 keV   7.471E-01  6.741E+00     243 A        51 A        41 A   
  13.00 keV   7.776E-01  6.848E+00     256 A        53 A        43 A   
  14.00 keV   8.070E-01  6.943E+00     269 A        55 A        45 A   
  15.00 keV   8.353E-01  7.028E+00     282 A        57 A        47 A   
  16.00 keV   8.627E-01  7.106E+00     294 A        59 A        49 A   
  17.00 keV   8.892E-01  7.176E+00     307 A        61 A        51 A   
  18.00 keV   9.150E-01  7.240E+00     319 A        64 A        53 A   
  20.00 keV   9.645E-01  7.352E+00     343 A        67 A        56 A   
  22.50 keV   1.023E+00  7.467E+00     373 A        72 A        60 A   
  25.00 keV   1.078E+00  7.559E+00     402 A        77 A        64 A   
  27.50 keV   1.131E+00  7.633E+00     431 A        82 A        68 A   
  30.00 keV   1.181E+00  7.694E+00     459 A        86 A        72 A   
  32.50 keV   1.230E+00  7.742E+00     487 A        90 A        76 A   
  35.00 keV   1.276E+00  7.781E+00     515 A        95 A        80 A   
  37.50 keV   1.321E+00  7.812E+00     543 A        99 A        84 A   
  40.00 keV   1.364E+00  7.835E+00     570 A       103 A        87 A   
  45.00 keV   1.447E+00  7.865E+00     625 A       111 A        95 A   
