 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> September 27, 2024 
 ==================================================================

 Disk File Name = SRIM Outputs\79Zn_CD2.txt

 Ion = Zinc [30] , Mass = 79 amu

 Target Density =  9.3000E-01 g/cm3 = 1.1979E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    066.67    014.37   
      C      6    033.33    085.63   
 ====================================
 Bragg Correction = 0.54%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   6.377E-01  6.269E+00     230 A        46 A        37 A   
  11.00 keV   6.688E-01  6.405E+00     244 A        49 A        39 A   
  12.00 keV   6.986E-01  6.526E+00     258 A        51 A        41 A   
  13.00 keV   7.271E-01  6.634E+00     272 A        53 A        43 A   
  14.00 keV   7.546E-01  6.732E+00     286 A        55 A        45 A   
  15.00 keV   7.810E-01  6.820E+00     299 A        57 A        47 A   
  16.00 keV   8.067E-01  6.900E+00     312 A        59 A        49 A   
  17.00 keV   8.315E-01  6.973E+00     325 A        61 A        51 A   
  18.00 keV   8.556E-01  7.040E+00     338 A        63 A        52 A   
  20.00 keV   9.019E-01  7.158E+00     363 A        67 A        56 A   
  22.50 keV   9.566E-01  7.279E+00     394 A        72 A        60 A   
  25.00 keV   1.008E+00  7.379E+00     424 A        76 A        64 A   
  27.50 keV   1.058E+00  7.461E+00     454 A        81 A        68 A   
  30.00 keV   1.105E+00  7.528E+00     483 A        85 A        72 A   
  32.50 keV   1.150E+00  7.584E+00     512 A        89 A        76 A   
  35.00 keV   1.193E+00  7.630E+00     541 A        93 A        80 A   
  37.50 keV   1.235E+00  7.667E+00     570 A        97 A        83 A   
  40.00 keV   1.275E+00  7.697E+00     598 A       101 A        87 A   
  45.00 keV   1.353E+00  7.740E+00     654 A       109 A        94 A   
