 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> January 28, 2022 
 ==================================================================

 Disk File Name = SRIM Outputs\7Be_CD2.txt

 Ion = Beryllium [4] , Mass = 7 amu

 Target Density =  9.0000E-01 g/cm3 = 1.0156E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    066.67    014.37   
      C      6    033.33    085.63   
 ====================================
 Bragg Correction = -1.56%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   5.992E-01  3.330E-01    1012 A       335 A       266 A   
  11.00 keV   6.285E-01  3.181E-01    1111 A       358 A       288 A   
  12.00 keV   6.564E-01  3.047E-01    1209 A       381 A       309 A   
  13.00 keV   6.832E-01  2.925E-01    1307 A       402 A       330 A   
  14.00 keV   7.090E-01  2.815E-01    1404 A       422 A       351 A   
  15.00 keV   7.122E-01  2.714E-01    1501 A       442 A       370 A   
  16.00 keV   7.188E-01  2.621E-01    1599 A       461 A       390 A   
  17.00 keV   7.279E-01  2.535E-01    1697 A       480 A       409 A   
  18.00 keV   7.389E-01  2.456E-01    1796 A       499 A       428 A   
  20.00 keV   7.651E-01  2.314E-01    1993 A       535 A       465 A   
  22.50 keV   8.029E-01  2.161E-01    2238 A       577 A       510 A   
  25.00 keV   8.437E-01  2.030E-01    2478 A       615 A       552 A   
  27.50 keV   8.858E-01  1.916E-01    2713 A       651 A       593 A   
  30.00 keV   9.282E-01  1.816E-01    2943 A       684 A       632 A   
  32.50 keV   9.703E-01  1.728E-01    3167 A       714 A       669 A   
  35.00 keV   1.012E+00  1.648E-01    3385 A       742 A       704 A   
  37.50 keV   1.052E+00  1.577E-01    3599 A       768 A       737 A   
  40.00 keV   1.091E+00  1.512E-01    3808 A       792 A       769 A   
  45.00 keV   1.166E+00  1.400E-01    4211 A       836 A       829 A   
