 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> April 17, 2023 
 ==================================================================

 Disk File Name = SRIM Outputs\7Li_Al.txt

 Ion = Lithium [3] , Mass = 7 amu

 Target Density =  2.7020E+00 g/cm3 = 6.0305E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Al     13    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
999.999 eV    8.552E-02  1.706E-01      71 A        63 A        48 A   
   1.10 keV   8.970E-02  1.716E-01      77 A        68 A        51 A   
   1.20 keV   9.369E-02  1.723E-01      83 A        72 A        54 A   
   1.30 keV   9.751E-02  1.727E-01      89 A        77 A        57 A   
   1.40 keV   1.012E-01  1.730E-01      95 A        81 A        60 A   
   1.50 keV   1.047E-01  1.731E-01     101 A        85 A        63 A   
   1.60 keV   1.082E-01  1.731E-01     107 A        90 A        66 A   
   1.70 keV   1.115E-01  1.729E-01     113 A        94 A        69 A   
   1.80 keV   1.147E-01  1.727E-01     119 A        98 A        72 A   
   2.00 keV   1.209E-01  1.720E-01     130 A       106 A        79 A   
   2.25 keV   1.283E-01  1.709E-01     145 A       115 A        86 A   
   2.50 keV   1.352E-01  1.695E-01     160 A       125 A        93 A   
   2.75 keV   1.418E-01  1.680E-01     175 A       134 A       100 A   
   3.00 keV   1.481E-01  1.663E-01     189 A       143 A       107 A   
   3.25 keV   1.542E-01  1.646E-01     204 A       152 A       114 A   
   3.50 keV   1.600E-01  1.628E-01     219 A       161 A       121 A   
   3.75 keV   1.656E-01  1.610E-01     234 A       170 A       128 A   
   4.00 keV   1.710E-01  1.593E-01     249 A       178 A       134 A   
   4.50 keV   1.814E-01  1.557E-01     278 A       195 A       147 A   
   5.00 keV   1.912E-01  1.523E-01     308 A       211 A       160 A   
