 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> January 28, 2022 
 ==================================================================

 Disk File Name = SRIM Outputs\8Li_CD2.txt

 Ion = Lithium [3] , Mass = 9 amu

 Target Density =  9.0000E-01 g/cm3 = 1.0156E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    066.67    014.37   
      C      6    033.33    085.63   
 ====================================
 Bragg Correction = -1.56%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   3.479E-01  2.658E-01    1467 A       453 A       353 A   
  11.00 keV   3.649E-01  2.532E-01    1621 A       488 A       386 A   
  12.00 keV   3.812E-01  2.419E-01    1775 A       521 A       418 A   
  13.00 keV   3.967E-01  2.318E-01    1928 A       554 A       450 A   
  14.00 keV   4.117E-01  2.226E-01    2081 A       585 A       481 A   
  15.00 keV   4.261E-01  2.142E-01    2234 A       614 A       512 A   
  16.00 keV   4.401E-01  2.065E-01    2385 A       643 A       541 A   
  17.00 keV   4.537E-01  1.995E-01    2535 A       671 A       571 A   
  18.00 keV   4.668E-01  1.930E-01    2685 A       697 A       599 A   
  20.00 keV   4.901E-01  1.814E-01    2982 A       748 A       655 A   
  22.50 keV   5.178E-01  1.689E-01    3348 A       807 A       721 A   
  25.00 keV   5.441E-01  1.583E-01    3708 A       861 A       784 A   
  27.50 keV   5.693E-01  1.491E-01    4063 A       912 A       844 A   
  30.00 keV   5.935E-01  1.411E-01    4412 A       959 A       901 A   
  32.50 keV   6.169E-01  1.340E-01    4755 A      1002 A       956 A   
  35.00 keV   6.395E-01  1.277E-01    5091 A      1043 A      1008 A   
  37.50 keV   6.614E-01  1.220E-01    5423 A      1081 A      1058 A   
  40.00 keV   6.828E-01  1.169E-01    5748 A      1117 A      1105 A   
  45.00 keV   7.239E-01  1.079E-01    6383 A      1184 A      1195 A   
