 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> January 28, 2022 
 ==================================================================

 Disk File Name = SRIM Outputs\96Kr_CD2.txt

 Ion = Krypton [36] , Mass = 96 amu

 Target Density =  9.0000E-01 g/cm3 = 1.0156E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    066.67    014.37   
      C      6    033.33    085.63   
 ====================================
 Bragg Correction = -1.56%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   7.651E-01  6.236E+00     246 A        45 A        36 A   
  11.00 keV   8.025E-01  6.383E+00     260 A        48 A        38 A   
  12.00 keV   8.382E-01  6.515E+00     275 A        50 A        40 A   
  13.00 keV   8.724E-01  6.634E+00     289 A        52 A        42 A   
  14.00 keV   9.053E-01  6.742E+00     303 A        54 A        44 A   
  15.00 keV   9.371E-01  6.841E+00     316 A        56 A        45 A   
  16.00 keV   9.678E-01  6.931E+00     329 A        58 A        47 A   
  17.00 keV   9.976E-01  7.014E+00     343 A        60 A        49 A   
  18.00 keV   1.027E+00  7.090E+00     356 A        62 A        50 A   
  20.00 keV   1.082E+00  7.226E+00     381 A        65 A        54 A   
  22.50 keV   1.148E+00  7.368E+00     412 A        70 A        58 A   
  25.00 keV   1.210E+00  7.488E+00     443 A        74 A        62 A   
  27.50 keV   1.269E+00  7.589E+00     473 A        78 A        65 A   
  30.00 keV   1.325E+00  7.674E+00     502 A        82 A        69 A   
  32.50 keV   1.379E+00  7.747E+00     531 A        86 A        73 A   
  35.00 keV   1.431E+00  7.809E+00     560 A        90 A        76 A   
  37.50 keV   1.482E+00  7.861E+00     588 A        93 A        80 A   
  40.00 keV   1.530E+00  7.906E+00     616 A        97 A        83 A   
  45.00 keV   1.623E+00  7.976E+00     672 A       104 A        90 A   
